timestamp,position 1,command_position 1,velocity 1,torque 1,power 1,pressure 1,foot_contact 1,position 3,command_position 3,velocity 3,torque 3,power 3,pressure 3,foot_contact 3
1719847731.778431,2.7797,0.0,0.0334,0.0,0.0,87.3756,False,1.5067,0.0,-0.0464,0.0,0.0,103.6137,False
1719847731.80845,2.7796,6.2832,-0.0126,0.0079,0.0002,87.4136,False,1.5066,-6.2832,-0.0888,0.0,0.0006,103.6675,True
1719847731.8390243,2.8301,6.2832,4.0558,-0.0933,0.0603,87.4136,False,1.429,-6.2832,-4.7039,0.0123,-0.0022,103.6675,True
1719847731.8685813,2.9423,6.2832,6.6559,-0.0221,0.0668,87.3756,False,1.2982,-6.2832,-7.0261,-0.0171,0.0354,103.8288,True
1719847731.9137285,3.2989,6.2832,12.0517,-0.0123,-0.0622,87.9072,False,0.9118,-6.2832,-12.7169,-0.0054,0.0311,103.99,True
1719847731.9444335,3.6549,6.2832,14.8966,0.0074,0.0785,88.2109,False,0.5488,-6.2832,-15.844,-0.0016,-0.028,104.6888,True
1719847731.9738479,4.0736,6.2832,17.5256,0.0115,0.1942,88.5527,False,0.141,-6.2832,-17.2102,-0.0434,0.5152,104.7425,True
1719847732.0042217,4.5767,6.2832,19.7161,0.0007,0.3581,88.7425,False,-0.3441,-6.2832,-20.0968,0.0051,0.0114,105.1725,True
1719847732.0336277,5.1228,6.2832,20.2458,0.0708,1.8668,88.2109,False,-0.8694,-6.2832,-21.7892,0.0074,0.2062,105.3875,True
1719847732.0640182,5.6249,6.2832,14.9776,0.195,3.1145,87.3756,False,-1.4877,-6.2832,-24.4032,-0.0539,1.1032,105.0112,True
1719847732.0945356,6.0074,6.2832,11.5651,0.1446,1.7186,87.3756,False,-2.157,-6.2832,-26.4094,-0.0505,1.0913,102.8956,True
1719847732.1235304,6.264,6.2832,7.7205,0.1301,1.0774,87.2997,False,-2.8687,-6.2832,-29.013,-0.0155,0.484,101.63,True
1719847732.1525853,6.4147,0.0,3.5804,0.2973,2.017,87.2997,False,-3.6248,0.0,-30.8713,-0.6879,28.0731,101.8644,False
1719847732.1828513,6.1016,0.0,-16.0639,0.037,-0.1744,87.2617,False,-3.4851,0.0,22.159,-0.0519,-0.8323,101.6769,False
1719847732.2125297,5.5497,0.0,-19.132,0.0239,-0.38,87.2617,False,-2.6829,0.0,28.2043,-0.0095,-0.2232,101.7237,False
1719847732.242387,4.9909,0.0,-18.1816,-0.0087,0.1615,87.2617,False,-1.8944,0.0,24.4647,0.0248,0.5793,101.63,False
1719847732.2719996,4.487,0.0,-16.1642,-0.0071,0.2195,87.2617,False,-1.2639,0.0,18.8858,0.0071,0.1459,101.5362,False
1719847732.3031182,4.0381,0.0,-13.9165,-0.0019,0.0387,87.1478,False,-0.778,0.0,13.4637,0.0146,0.2084,101.5831,False
1719847732.3322146,3.6659,0.0,-11.6148,-0.0143,0.1336,87.2997,False,-0.4687,0.0,8.881,0.0101,0.0515,101.5362,False
1719847732.3633077,3.3588,0.0,-8.8862,-0.0117,0.0725,87.2997,False,-0.252,0.0,5.6763,0.0006,0.0441,101.4894,False
1719847732.3931873,3.1688,0.0,-4.7841,-0.013,0.0361,87.2997,False,-0.0941,0.0,5.6637,-0.0034,-0.0246,101.4894,False
1719847732.4223742,3.1034,0.0,-1.2568,0.0024,-0.0001,87.2617,False,0.0847,0.0,6.4459,-0.0032,-0.0117,101.5831,False
1719847732.4528499,3.0875,0.0,-0.024,-0.0,-0.0004,87.1858,False,0.3185,0.0,8.2537,0.0031,-0.0725,101.5831,False
1719847732.4821365,3.0874,0.0,0.051,-0.0,-0.0,87.2617,False,0.5752,0.0,9.4414,-0.0124,-0.0147,101.63,False
1719847732.5120058,3.0865,0.0,-0.038,-0.0015,-0.0017,88.0591,False,0.8545,0.0,8.0766,0.0173,0.0968,102.9894,False
1719847732.5432403,3.0058,6.2832,-7.3964,0.0504,-0.1471,89.9955,False,1.1072,-6.2832,8.8855,0.0001,0.002,104.9575,True
1719847732.574246,2.972,6.2832,0.4041,-0.0381,0.0627,90.7548,False,1.2702,-6.2832,2.6985,0.0643,0.3427,105.925,True
1719847732.6035213,2.9981,6.2832,3.8272,-0.1,0.1035,90.9067,False,1.3519,-6.2832,0.8918,0.0393,0.1011,106.6775,True
1719847732.63299,3.0833,6.2832,5.8371,-0.049,0.0371,91.3244,False,1.3609,-6.2832,-1.8722,0.0601,0.0776,107.1612,True
1719847732.664247,3.2394,6.2832,8.525,-0.015,-0.0086,90.565,False,1.3071,-6.2832,-4.4721,0.0175,0.0108,107.3763,True
