timestamp,position 1,command_position 1,velocity 1,torque 1,power 1,pressure 1,foot_contact 1,position 3,command_position 3,velocity 3,torque 3,power 3,pressure 3,foot_contact 3
1721316735.8754773,-0.2776,0.0628,-0.0071,0.0,0.0,97.5987,False,0.1176,0.0628,-0.0179,0.0,0.0,101.2081,False
1721316735.8935237,-0.2767,0.0628,0.2061,-0.0016,0.0012,97.5519,False,0.1173,0.0628,-0.0626,-0.0181,0.008,101.255,False
1721316735.9234176,-0.1975,0.0628,5.1928,-0.038,0.0029,97.4581,False,0.0681,0.0628,-0.1413,-0.1058,0.2227,101.3019,False
1721316735.953525,-0.0488,0.0628,6.6206,0.0255,0.1411,97.4581,False,0.057,0.0628,-0.0544,-0.004,0.0,101.1612,False
1721316735.9834442,0.035,0.0628,0.9783,0.1572,0.4464,97.4581,False,0.0564,0.0628,0.0225,0.012,-0.0004,101.3019,False
1721316736.012575,0.0415,0.0628,-0.319,0.0298,0.0092,97.3644,False,0.055,0.0628,-0.0102,-0.0,0.0,101.3019,False
1721316736.0428152,0.0425,0.0628,-0.1525,0.0117,-0.0006,97.5519,False,0.0542,0.0628,-0.0818,0.0087,-0.0005,101.0675,False
1721316736.073,0.0435,0.0628,-0.0941,0.0024,-0.0003,97.4112,False,0.0544,0.0628,-0.1254,0.0128,0.0011,101.3487,False
1721316736.1034536,0.0441,0.0628,-0.0595,0.0015,-0.002,97.4581,False,0.0542,0.0628,-0.1292,-0.0008,0.0009,101.3019,False
1721316736.1335332,0.044,0.0628,-0.1155,-0.0023,-0.0006,97.4581,False,0.0544,0.0628,-0.0662,0.0037,0.0007,101.255,False
1721316736.1644096,0.0448,0.0628,-0.0881,0.0012,-0.0024,97.4581,False,0.0543,0.0628,-0.0382,-0.0004,0.0005,101.2081,False
1721316736.1956131,0.0443,0.0628,-0.1525,0.0182,-0.0004,97.4112,False,0.0539,0.0628,-0.1169,0.0042,0.0005,101.2081,False
1721316736.2261817,0.0442,0.0628,-0.0655,-0.0016,-0.0032,97.4581,False,0.0532,0.0628,-0.2509,0.0132,0.0017,101.1612,False
1721316736.2565985,0.0442,0.0628,-0.118,-0.0008,0.0002,97.4112,False,0.0528,0.0628,-0.2462,0.0177,0.0013,101.2081,False
1721316736.2874315,0.0442,0.0628,-0.1391,0.0046,-0.0002,97.4112,False,0.0535,0.0628,-0.0599,0.0084,-0.0003,101.1612,False
1721316736.3181224,0.044,0.0628,-0.1705,0.0252,-0.0001,97.3644,False,0.0531,0.0628,-0.1347,0.0123,0.0002,101.1612,False
1721316736.3481927,0.0439,0.0628,-0.2347,0.0153,0.0017,97.505,False,0.0527,0.0628,-0.2221,0.0221,0.0011,101.2081,False
1721316736.37954,0.044,0.0628,-0.223,0.013,-0.0002,97.505,False,0.0528,0.0628,-0.2367,0.0177,0.0008,101.1612,False
1721316736.4106314,0.0441,0.0628,-0.2426,0.016,0.0002,97.5519,False,0.0531,0.0628,-0.1917,0.0084,0.0019,101.255,False
1721316736.441355,0.0447,0.0628,-0.0544,0.0121,-0.0038,97.4581,False,0.0533,0.0628,-0.1387,0.0219,-0.0014,101.1612,False
1721316736.4714537,0.0438,0.0628,-0.2408,0.0213,0.0011,97.5519,False,0.0532,0.0628,-0.1037,0.0084,-0.0009,101.2081,False
1721316736.5008876,0.0446,0.0628,-0.1311,0.0067,-0.0012,97.4581,False,0.0526,0.0628,-0.2871,0.0042,0.0059,101.1612,False
1721316736.5309794,0.0446,0.0628,-0.1138,0.0076,-0.0013,97.4112,False,0.0536,0.0628,-0.0777,0.0077,0.0004,101.1612,False
1721316736.5611043,0.0445,0.0628,-0.1686,0.0105,-0.0002,97.4581,False,0.0531,0.0628,-0.0816,-0.0045,0.0,101.0206,False
1721316736.593243,0.0445,0.0628,-0.1472,0.0113,-0.0013,97.5519,False,0.0531,0.0628,-0.1668,0.0129,0.0017,101.0206,False
1721316736.6252658,0.044,0.0628,-0.2578,0.0137,0.0023,97.4581,False,0.0527,0.0628,-0.2462,0.0217,0.0042,101.2081,False
1721316736.6535301,0.0447,0.0628,-0.142,0.0197,-0.0033,97.505,False,0.0535,0.0628,-0.0679,-0.0081,-0.0013,101.1612,False
1721316736.6855779,0.0446,0.0628,-0.0977,0.0084,-0.0013,97.4581,False,0.0532,0.0628,-0.1152,0.0045,-0.0006,101.3019,False
1721316736.7157376,0.0449,0.0628,-0.1005,-0.0,-0.0019,97.3644,False,0.0531,0.0628,-0.1911,0.0039,0.0016,101.255,False
1721316736.7460618,0.0449,0.0628,-0.1256,0.0075,-0.0016,97.4112,False,0.053,0.0628,-0.1912,0.0171,0.0017,101.1612,False
1721316736.7768536,0.0448,0.0628,-0.1307,0.0105,-0.0022,97.4112,False,0.0537,0.0628,0.0083,-0.0045,0.0009,101.2081,False
1721316736.8070498,0.0458,0.0628,0.1008,-0.0075,0.0014,97.4581,False,0.0534,0.0628,-0.1522,0.0132,0.001,101.3487,False
1721316736.8363175,0.0451,0.0628,-0.1381,0.0075,0.0005,97.4581,False,0.0524,0.0628,-0.4131,0.0342,0.0153,101.2081,False
1721316736.8674188,0.0449,0.0628,-0.1282,-0.008,-0.0015,97.505,False,0.0531,0.0628,-0.1814,0.0084,0.0016,101.1612,False
1721316736.897744,0.0449,0.0628,-0.0819,0.0084,-0.0007,97.5519,False,0.0533,0.0628,-0.1855,0.0039,0.0012,101.1144,False
1721316736.927801,0.0456,0.0628,0.0922,-0.0195,0.0053,97.4112,False,0.0529,0.0628,-0.2012,0.0137,-0.0006,101.2081,False
1721316736.9580348,0.0449,0.0628,-0.1152,0.002,-0.0008,97.4581,False,0.0536,0.0628,-0.1044,0.0087,-0.0004,101.2081,False
1721316736.9894912,0.045,0.0628,-0.1224,0.0058,-0.0015,97.4112,False,0.053,0.0628,-0.2235,0.0124,0.0023,101.1144,False
1721316737.0194688,0.0449,0.0628,-0.1006,-0.0118,-0.0009,97.505,False,0.0533,0.0628,-0.1504,0.0174,0.0014,101.1612,False
1721316737.0491567,0.045,0.0628,-0.0919,0.0049,-0.0015,97.4581,False,0.0525,0.0628,-0.2499,0.0264,0.0023,101.1144,False
1721316737.080779,0.0445,0.0628,-0.2624,0.0251,0.0036,97.505,False,0.0529,0.0628,-0.1482,0.0037,0.0019,101.0206,False
1721316737.1103776,0.0451,0.0628,-0.0576,0.0112,-0.0015,97.4112,False,0.0529,0.0628,-0.2327,0.0172,0.0041,101.255,False
1721316737.1413035,0.0451,0.0628,-0.1398,0.0141,-0.002,97.5519,False,0.0533,0.0628,-0.0509,-0.0003,0.0006,101.1612,False
1721316737.17154,0.0449,0.0628,-0.0932,-0.0026,-0.0002,97.3644,False,0.0531,0.0628,-0.0928,0.0087,-0.0005,101.2081,False
1721316737.202464,0.0455,0.0628,0.0878,-0.0,0.0,97.4581,False,0.0538,0.0628,-0.0653,0.0045,-0.0005,101.1612,False
1721316737.2327118,0.0448,0.0628,-0.2154,0.0038,0.0004,97.4112,False,0.0531,0.0628,-0.1435,0.0213,0.0008,101.1612,False
1721316737.2632234,0.0445,0.0628,-0.1867,0.0084,0.0008,97.3644,False,0.0527,0.0628,-0.2481,0.0261,0.0064,101.0206,False
1721316737.2921374,0.045,0.0628,-0.065,-0.0101,0.0008,97.4112,False,0.0539,0.0628,0.0007,-0.0045,0.0021,101.3019,False
1721316737.3228228,0.0444,0.0628,-0.2546,0.0122,0.0013,97.3644,False,0.0535,0.0628,-0.0522,-0.0138,0.0019,101.1612,False
1721316737.3537989,0.0447,0.0628,-0.1362,0.0013,-0.0012,97.4581,False,0.0529,0.0628,-0.2363,0.0216,0.0041,101.3956,False
1721316737.3835766,0.0453,0.0628,0.0011,-0.0018,0.0002,97.505,False,0.0524,0.0628,-0.2807,0.0312,0.0002,101.1612,False
1721316737.414068,0.0444,0.0628,-0.3043,0.0105,0.0048,97.3644,False,0.0527,0.0628,-0.2122,0.0129,0.0013,101.3019,False
1721316737.4462683,0.0454,0.0628,-0.0042,-0.0111,0.0011,97.4581,False,0.0527,0.0628,-0.177,0.0045,-0.0,101.2081,False
1721316737.4765508,0.0454,0.0628,0.0168,0.0019,-0.0012,97.4581,False,0.0528,0.0628,-0.1453,0.0216,-0.0019,101.3487,False
1721316737.506731,0.0447,0.0628,-0.2552,0.0038,0.0009,97.4112,False,0.0523,0.0628,-0.2819,0.0132,0.0019,101.1144,False
1721316737.5383024,0.0447,0.0628,-0.183,0.0058,-0.0026,97.4581,False,0.0527,0.0628,-0.2101,0.0174,-0.0,101.2081,False
1721316737.569137,0.0448,0.0628,-0.1848,0.0159,0.0002,97.5519,False,0.0521,0.0628,-0.3506,0.0215,0.0055,101.1144,False
1721316737.6003122,0.045,0.0628,-0.1112,0.002,-0.0008,97.505,False,0.0525,0.0628,-0.2113,0.0174,0.0007,101.3019,False
1721316737.6304276,0.045,0.0628,-0.1827,0.0259,0.0024,97.505,False,0.0532,0.0628,-0.0709,0.0174,-0.0024,101.2081,False
1721316737.6611772,0.0448,0.0628,-0.2263,0.0105,0.0002,97.4112,False,0.053,0.0628,-0.0557,0.0045,-0.0012,101.2081,False
1721316737.6916392,0.0452,0.0628,-0.0304,-0.0055,0.0005,97.4112,False,0.0531,0.0628,-0.1295,0.0045,-0.0003,101.2081,False
1721316737.722906,0.0451,0.0628,-0.073,-0.0072,0.0007,97.5519,False,0.0524,0.0628,-0.2352,0.0217,0.0016,101.1144,False
1721316737.7539713,0.045,0.0628,-0.218,0.0084,0.0016,97.4581,False,0.0528,0.0628,-0.1127,0.004,0.0001,101.0675,False
1721316737.7848465,0.0448,0.0628,-0.2144,0.0092,0.0009,97.4581,False,0.0527,0.0628,-0.1785,0.004,0.0007,101.2081,False
1721316737.8159802,0.0449,0.0628,-0.195,0.0012,-0.0006,97.3175,False,0.0526,0.0628,-0.1979,0.017,0.001,101.3956,False
1721316737.8472185,0.045,0.0628,-0.1605,0.0046,-0.0002,97.505,False,0.0523,0.0628,-0.295,0.0174,0.0034,101.255,False
1721316737.877632,0.0451,0.0628,-0.0819,0.0075,-0.0014,97.5519,False,0.0531,0.0628,-0.106,0.0048,-0.0014,101.0206,False
1721316737.9075193,0.0449,0.0628,-0.1796,0.0113,0.0008,97.3644,False,0.0523,0.0628,-0.2956,0.0174,0.0023,101.1612,False
1721316737.937781,0.0455,0.0628,0.0007,0.0028,-0.0009,97.4112,False,0.0528,0.0628,-0.1907,0.0212,0.0026,101.1612,False
1721316737.9692283,0.0451,0.0628,-0.125,0.0029,-0.0001,97.4581,False,0.0523,0.0628,-0.2457,0.0172,0.0024,101.2081,False
1721316737.9991503,0.0448,0.0628,-0.19,0.013,0.0007,97.505,False,0.0528,0.0628,-0.124,0.0216,-0.0027,101.1144,False
1721316738.0300875,0.0456,0.0628,0.0003,-0.0009,0.0001,97.4581,False,0.0526,0.0628,-0.2907,0.0174,0.0041,101.1144,False
1721316738.060287,0.0453,0.0628,-0.037,-0.011,0.001,97.5987,False,0.053,0.0628,-0.1185,0.0132,-0.0009,101.0675,False
1721316738.0919828,0.0451,0.0628,-0.1304,0.0158,-0.001,97.4112,False,0.0528,0.0628,-0.2169,-0.0,0.0,101.1144,False
1721316738.1224089,0.0452,0.0628,-0.1139,0.0046,-0.0,97.5519,False,0.0531,0.0628,-0.1585,0.0126,0.0001,101.0675,False
1721316738.1522791,0.0453,0.0628,-0.0947,0.0094,-0.0018,97.505,False,0.0529,0.0628,-0.0865,0.0076,-0.0003,101.255,False
1721316738.1828225,0.0454,0.0628,-0.0248,0.0037,-0.0009,97.4581,False,0.0526,0.0628,-0.2247,0.0127,0.0013,101.3019,False
1721316738.2130685,0.0454,0.0628,-0.051,-0.0083,0.0002,97.4112,False,0.0528,0.0628,-0.1885,0.0092,0.0008,101.0206,False
1721316738.2442195,0.0451,0.0628,-0.1617,0.0095,-0.0007,97.4581,False,0.0525,0.0628,-0.2937,0.0134,0.0017,101.2081,False
