timestamp,position 1,command_position 1,velocity 1,torque 1,power 1,pressure 1,foot_contact 1,position 3,command_position 3,velocity 3,torque 3,power 3,pressure 3,foot_contact 3
1721407181.0858307,0.3593,0.0628,0.1659,0.0,0.0,101.5831,False,0.3947,0.6283,0.0053,0.0,0.0,102.4269,False
1721407181.1078825,0.3599,0.0628,-0.7257,0.0207,0.0054,101.4894,False,0.4,0.6283,0.7587,-0.0098,0.0041,102.1456,False
1721407181.138043,0.2885,0.0628,-4.8548,0.0574,0.0174,101.4425,False,0.4768,0.6283,4.8684,0.0131,0.0089,102.2394,False
1721407181.1688466,0.1545,0.0628,-4.9151,-0.0874,0.4278,101.5362,False,0.5872,0.6283,2.6198,0.0953,0.4188,102.2394,False
1721407181.2001388,0.0907,0.0628,-0.2043,-0.1571,0.4105,101.4894,False,0.6071,0.6283,0.1839,0.0244,0.0038,102.1925,False
1721407181.2299838,0.0873,0.0628,-0.0563,-0.0025,0.0002,101.4894,False,0.6169,0.6283,0.1494,0.0258,0.012,102.0987,False
1721407181.259834,0.0874,0.0628,0.1573,-0.0172,0.0013,101.3956,False,0.6187,0.6283,0.0578,0.0213,0.0035,102.3331,False
1721407181.290009,0.0877,0.0628,0.1752,-0.0221,0.0002,101.5831,False,0.6187,0.6283,-0.0196,0.0173,0.0072,102.38,False
1721407181.3199124,0.0874,0.0628,0.2155,-0.0294,-0.0012,101.3956,False,0.6176,0.6283,-0.2291,0.0448,0.0312,102.2394,False
1721407181.3491397,0.0872,0.0628,0.2373,-0.0123,0.0021,101.5362,False,0.6177,0.6283,-0.2715,0.0352,0.0206,102.2394,False
1721407181.3794477,0.0859,0.0628,0.1915,-0.0122,0.0017,101.3487,False,0.6182,0.6283,-0.2061,0.0313,0.0222,102.2862,False
1721407181.4101362,0.0848,0.0628,-0.0217,0.0098,0.0021,101.63,False,0.6182,0.6283,-0.2297,0.0399,0.0253,102.1456,False
1721407181.43995,0.0844,0.0628,0.0698,-0.0022,0.0002,101.4894,False,0.6181,0.6283,-0.263,0.0306,0.0199,102.1925,False
1721407181.4690785,0.0838,0.0628,0.0622,0.0147,-0.0001,101.3956,False,0.6189,0.6283,-0.0815,0.0374,0.0155,102.2394,False
1721407181.499098,0.0824,0.0628,-0.0309,0.0098,0.0001,101.6769,False,0.6182,0.6283,-0.1725,0.0352,0.0178,102.1456,False
1721407181.5302935,0.0825,0.0628,-0.0833,0.0042,-0.0007,101.5362,False,0.6183,0.6283,-0.2186,0.0379,0.0231,102.2394,False
1721407181.5599437,0.083,0.0628,0.0409,0.0034,0.0008,101.4894,False,0.6188,0.6283,-0.1751,0.0287,0.0153,102.3331,False
1721407181.5896695,0.0824,0.0628,-0.09,0.0134,0.0056,101.4894,False,0.6184,0.6283,-0.2337,0.0406,0.0218,102.1456,False
1721407181.6199298,0.0827,0.0628,0.0386,0.0042,-0.0015,101.5362,False,0.6179,0.6283,-0.3462,0.0503,0.0356,102.1925,False
1721407181.6501415,0.0825,0.0628,-0.0108,-0.0021,-0.0001,101.5362,False,0.6188,0.6283,-0.1039,0.0127,0.0062,102.4737,False
1721407181.6803858,0.0821,0.0628,-0.064,0.0126,0.0025,101.5831,False,0.6192,0.6283,-0.0194,0.0098,0.0011,102.1456,False
1721407181.711263,0.0816,0.0628,-0.051,0.0029,0.0005,101.4894,False,0.618,0.6283,-0.1914,0.0259,0.0132,102.1925,False
1721407181.7415164,0.081,0.0628,-0.1078,0.0165,0.002,101.4425,False,0.6181,0.6283,-0.3493,0.0432,0.0337,102.38,False
1721407181.7722251,0.0808,0.0628,-0.1809,0.0135,0.0026,101.4894,False,0.619,0.6283,-0.0693,0.008,0.004,102.1456,False
1721407181.8021057,0.0808,0.0628,-0.2188,0.0078,0.0031,101.5362,False,0.6185,0.6283,-0.2345,0.0266,0.0148,102.38,False
1721407181.8322997,0.0816,0.0628,-0.0798,0.0049,0.0009,101.4425,False,0.6181,0.6283,-0.351,0.0259,0.0198,102.2862,False
1721407181.8621244,0.0817,0.0628,-0.0826,0.002,-0.0001,101.5362,False,0.6184,0.6283,-0.2769,0.0319,0.0182,102.0987,False
1721407181.8920171,0.0814,0.0628,-0.0832,0.002,0.0003,101.4894,False,0.6189,0.6283,-0.1274,0.0226,0.0078,102.1456,False
1721407181.921475,0.0808,0.0628,-0.1693,0.0038,0.0005,101.4894,False,0.6183,0.6283,-0.1741,0.0173,0.0082,102.3331,False
1721407181.9518945,0.0812,0.0628,-0.0946,0.0068,0.0012,101.4894,False,0.6177,0.6283,-0.4321,0.0463,0.0358,102.1456,False
1721407181.9812455,0.0811,0.0628,-0.1085,0.0127,0.0032,101.5362,False,0.6183,0.6283,-0.2767,0.0306,0.0166,102.3331,False
1721407182.010595,0.081,0.0628,-0.1286,0.0078,0.0025,101.5362,False,0.6185,0.6283,-0.1448,0.0219,0.0102,102.2862,False
1721407182.0409944,0.0808,0.0628,-0.1688,0.0136,0.0034,101.5362,False,0.6188,0.6283,-0.183,0.0325,0.0143,102.38,False
1721407182.0712302,0.0805,0.0628,-0.1674,0.0183,0.0024,101.5362,False,0.6181,0.6283,-0.3547,0.0352,0.0266,102.2862,False
1721407182.1023767,0.0801,0.0628,-0.2458,0.0067,0.0039,101.5362,False,0.6185,0.6283,-0.2734,0.0312,0.0196,102.3331,False
1721407182.132223,0.0803,0.0628,-0.1764,0.0213,0.0064,101.5831,False,0.6181,0.6283,-0.4071,0.0572,0.033,102.1925,False
1721407182.1620266,0.08,0.0628,-0.2708,0.0085,0.0033,101.5362,False,0.6186,0.6283,-0.2076,0.0299,0.0149,102.2394,False
1721407182.1914775,0.0803,0.0628,-0.1571,0.0105,0.0028,101.5362,False,0.6186,0.6283,-0.251,0.0299,0.0177,102.2862,False
1721407182.2219524,0.0801,0.0628,-0.1526,0.0146,0.0023,101.4894,False,0.6185,0.6283,-0.2402,0.0379,0.0192,102.2394,False
1721407182.2510185,0.0799,0.0628,-0.2285,0.0133,0.0042,101.4894,False,0.6191,0.6283,-0.1189,0.026,0.0101,102.3331,False
1721407182.2804544,0.079,0.0628,-0.3821,0.0259,0.0138,101.5831,False,0.6183,0.6283,-0.3035,0.0518,0.0301,102.2394,False
1721407182.310987,0.0797,0.0628,-0.1252,0.0067,0.0006,101.4425,False,0.6184,0.6283,-0.2092,0.0366,0.0169,102.2862,False
1721407182.3409996,0.0797,0.0628,-0.2526,0.0181,0.0058,101.4894,False,0.6187,0.6283,-0.3065,0.0432,0.028,102.3331,False
1721407182.3701448,0.0793,0.0628,-0.2524,0.0114,0.0037,101.5362,False,0.619,0.6283,-0.0542,0.0173,0.007,102.2862,False
1721407182.400138,0.0794,0.0628,-0.2268,0.0145,0.0047,101.5362,False,0.6191,0.6283,-0.1554,0.0381,0.0208,102.0987,False
1721407182.4304621,0.0793,0.0628,-0.1878,0.0101,0.0025,101.4425,False,0.6183,0.6283,-0.237,0.0313,0.0144,102.2394,False
1721407182.4602282,0.0794,0.0628,-0.1416,0.0036,0.0016,101.5831,False,0.6186,0.6283,-0.233,0.0293,0.0169,102.2862,False
1721407182.4907818,0.0793,0.0628,-0.2029,0.0198,0.0021,101.4425,False,0.6186,0.6283,-0.241,0.0299,0.0179,102.1456,False
