timestamp,position 1,command_position 1,velocity 1,torque 1,power 1,pressure 1,foot_contact 1,position 3,command_position 3,velocity 3,torque 3,power 3,pressure 3,foot_contact 3
1721482721.5628102,0.3013,0.0628,2.1918,0.0,0.0,101.2081,False,0.8382,0.6283,0.1361,0.0,0.0,101.2081,False
1721482721.5828521,0.3549,0.0628,1.6678,0.0535,0.0511,101.1612,False,0.837,0.6283,-0.2997,0.0049,-0.0006,101.1612,False
1721482721.613204,0.3472,0.0628,-2.6343,0.138,0.1417,101.1144,False,0.7427,0.6283,-4.8723,0.0069,-0.0031,101.1144,False
1721482721.6437345,0.2607,0.0628,-5.415,0.028,0.0243,101.1144,False,0.6347,0.6283,-1.8822,-0.0591,0.1387,101.2081,False
1721482721.6738908,0.1253,0.0628,-4.5729,-0.0656,0.2799,101.2081,False,0.6255,0.6283,1.1206,-0.0174,0.0186,101.1144,False
1721482721.7041888,0.0921,0.0628,0.2842,-0.148,0.2818,101.2081,False,0.6222,0.6283,0.1025,0.0034,0.0018,101.2081,False
1721482721.7357755,0.0874,0.0628,0.1014,-0.0148,0.002,101.1612,False,0.6226,0.6283,0.2291,0.0045,-0.0013,101.1612,False
1721482721.765354,0.0861,0.0628,0.199,-0.0049,0.0012,101.1612,False,0.6215,0.6283,-0.0584,0.0122,0.0027,101.2081,False
1721482721.7968931,0.0851,0.0628,0.1358,-0.0098,0.001,101.2081,False,0.6217,0.6283,-0.0445,0.0213,0.002,101.2081,False
1721482721.8260474,0.0842,0.0628,0.0674,0.008,0.002,101.0206,False,0.6215,0.6283,-0.1351,0.0216,0.0045,101.0675,False
1721482721.8576198,0.0836,0.0628,-0.0984,-0.0054,0.0018,101.2081,False,0.6224,0.6283,0.1348,-0.0045,0.0004,101.2081,False
1721482721.8882082,0.0831,0.0628,0.0836,-0.0049,0.0003,101.0675,False,0.6216,0.6283,-0.0373,0.0087,0.0022,101.2081,False
1721482721.9205866,0.0829,0.0628,0.111,0.0049,-0.0011,101.1612,False,0.6223,0.6283,0.1395,-0.005,0.0005,101.255,False
1721482721.9496653,0.0826,0.0628,-0.0239,0.0118,0.0008,101.2081,False,0.6215,0.6283,0.085,0.0045,-0.0005,101.1144,False
1721482721.9807627,0.0821,0.0628,-0.1665,0.0118,0.003,101.2081,False,0.6217,0.6283,0.0255,0.0042,0.0009,101.255,False
1721482722.0118558,0.0824,0.0628,-0.0532,0.0028,0.001,101.2081,False,0.6216,0.6283,-0.0773,0.0094,0.0007,101.1612,False
1721482722.043132,0.0823,0.0628,0.0372,-0.0106,-0.0006,101.2081,False,0.6221,0.6283,0.1248,0.0045,-0.0005,101.1144,False
1721482722.073424,0.0823,0.0628,0.0413,-0.0126,-0.0017,101.1612,False,0.6215,0.6283,-0.1173,0.0136,0.0033,101.1144,False
1721482722.1046858,0.0816,0.0628,-0.0963,0.0069,0.0007,101.255,False,0.6227,0.6283,0.2268,-0.0091,0.0013,101.255,False
