timestamp,position 1,command_position 1,velocity 1,torque 1,power 1,pressure 1,foot_contact 1,position 3,command_position 3,velocity 3,torque 3,power 3,pressure 3,foot_contact 3
1721407568.8511195,0.3929,0.0628,2.4,0.0,0.0,101.9112,False,-0.3554,0.6283,-0.0151,0.0,0.0,102.4269,False
1721407568.881325,0.447,0.0628,-0.1996,0.1364,0.2823,101.9581,False,-0.3383,0.6283,1.3773,0.0061,0.0037,102.6612,False
1721407568.9110413,0.4171,0.0628,-3.4937,0.1196,0.094,101.8644,False,-0.2428,0.6283,5.621,-0.0097,0.0149,102.8019,False
1721407568.9417648,0.3132,0.0628,-6.1315,0.0001,0.0154,101.7706,False,-0.0612,0.6283,8.4058,-0.0009,-0.0081,102.7081,False
1721407568.9719474,0.1604,0.0628,-5.2684,-0.1027,0.5569,101.7706,False,0.2009,0.6283,11.5389,0.0128,0.053,102.6144,False
1721407569.0022128,0.0895,0.0628,-0.4801,-0.1771,0.4823,101.9112,False,0.4674,0.6283,7.6953,0.1502,1.2369,102.6144,False
1721407569.0323987,0.0802,0.0628,-0.5142,0.0074,0.007,101.9112,False,0.6223,0.6283,3.8727,0.1359,0.6566,103.2912,False
1721407569.062091,0.079,0.0628,-0.1336,0.0145,0.005,101.8175,False,0.6693,0.6283,0.4174,0.1264,0.2441,103.0831,False
1721407569.0918174,0.0771,0.0628,-0.1367,-0.0018,0.0057,101.9112,False,0.6239,0.6283,-2.8115,0.1747,0.1343,103.8288,False
1721407569.1211593,0.0763,0.0628,-0.1567,-0.0007,0.0037,101.8175,False,0.621,0.6283,0.0507,0.0004,-0.0007,103.8288,False
1721407569.152625,0.076,0.0628,0.1268,-0.01,0.0037,101.9581,False,0.6198,0.6283,-0.1091,0.0219,0.0079,104.0437,False
1721407569.181369,0.0755,0.0,0.1028,-0.1277,0.2181,101.8644,False,0.6201,0.0,-0.3613,0.0673,0.0891,104.205,True
1721407569.2121508,0.1784,0.0,4.2004,-0.0176,-0.0247,101.8175,False,0.5039,0.0,-5.8889,0.0184,-0.045,104.1512,True
1721407569.2418003,0.2858,0.0,2.0263,-0.0026,-0.0018,101.8175,False,0.3491,0.0,-4.0527,-0.0173,0.0288,104.0437,True
1721407569.2725754,0.2772,0.0,-0.2148,-0.0048,-0.0001,101.8175,False,0.2986,0.0,0.0556,0.0022,0.0006,103.6137,True
1721407569.3048408,0.2799,0.0628,0.0987,0.0115,0.0002,101.7706,False,0.2972,0.6283,-0.0694,0.0,0.0,103.1837,False
1721407569.3339498,0.2194,0.0628,-4.0124,0.024,0.0087,101.9581,False,0.3624,0.6283,4.26,-0.0,-0.0,102.6612,False
1721407569.3652742,0.115,0.0628,-3.4299,-0.1311,0.4677,101.9581,False,0.5086,0.6283,6.3967,0.0312,0.1174,102.38,False
1721407569.3950365,0.0881,0.0628,-0.2552,-0.0441,0.0135,101.8644,False,0.6034,0.6283,2.4561,0.091,0.2055,102.6144,False
1721407569.4241612,0.0835,0.0628,-0.2666,0.0071,0.0032,101.8644,False,0.6081,0.6283,0.2046,-0.005,0.0005,102.5206,False
1721407569.454938,0.0824,0.0628,0.0101,-0.0,-0.0,101.9112,False,0.6119,0.6283,0.0063,0.0022,0.0025,102.38,False
1721407569.4840553,0.0807,0.0628,-0.0341,-0.0011,-0.0016,101.7706,False,0.6174,0.6283,0.1844,0.0117,0.0033,102.2862,False
1721407569.5160367,0.0801,0.0628,-0.1378,0.0134,0.0043,101.9112,False,0.6186,0.6283,-0.0006,0.0186,0.006,102.4737,False
1721407569.5457792,0.0804,0.0628,-0.0498,0.0078,0.0015,101.9112,False,0.6178,0.6283,-0.0317,0.0219,0.0089,102.38,False
1721407569.575328,0.0789,0.0628,-0.2124,0.0114,0.0052,101.8644,False,0.6188,0.6283,0.1545,0.004,0.0015,102.5206,False
1721407569.6041317,0.0794,0.0628,-0.0948,0.0018,0.0012,101.9581,False,0.6188,0.6283,0.0614,0.0346,0.0097,102.5675,False
1721407569.6353002,0.0786,0.0628,-0.2233,0.002,0.0038,101.8644,False,0.6185,0.6283,-0.1998,0.0299,0.0165,102.5206,False
1721407569.6647513,0.0789,0.0628,-0.217,0.0135,0.0078,101.9112,False,0.6176,0.6283,-0.3835,0.0439,0.0326,102.3331,False
1721407569.6941905,0.0791,0.0628,-0.1125,0.0101,0.004,101.9112,False,0.6185,0.6283,-0.0635,0.018,0.007,102.5206,False
1721407569.724285,0.0789,0.0628,-0.0851,-0.0014,0.0021,101.9112,False,0.6189,0.6283,-0.03,0.0127,0.0057,102.3331,False
1721407569.7537277,0.0786,0.0628,-0.215,0.0082,0.0048,101.8175,False,0.6183,0.6283,-0.1548,0.0266,0.0149,102.4737,False
1721407569.7861986,0.0784,0.0628,-0.1674,0.0162,0.007,101.8644,False,0.6184,0.6283,-0.1254,0.0173,0.0079,102.38,False
1721407569.8158877,0.0783,0.0628,-0.2215,0.013,0.0068,101.9581,False,0.6186,0.6283,-0.0796,0.0293,0.0144,102.38,False
1721407569.8465114,0.0781,0.0628,-0.2382,0.0146,0.0084,101.9581,False,0.6182,0.6283,-0.2752,0.0525,0.0287,102.4737,False
1721407569.8766196,0.0783,0.0628,-0.0731,0.0067,0.0048,101.8644,False,0.6175,0.6283,-0.3975,0.0485,0.0397,102.4737,False
1721407569.9054542,0.078,0.0628,-0.2613,0.0033,0.0033,101.9581,False,0.619,0.6283,-0.0823,0.0219,0.0116,102.38,False
