timestamp,position 1,command_position 1,velocity 1,torque 1,power 1,pressure 1,foot_contact 1,position 3,command_position 3,velocity 3,torque 3,power 3,pressure 3,foot_contact 3
1721407102.8722932,0.3567,0.0628,-0.0323,0.0,0.0,101.5362,False,0.4684,0.6283,0.1471,0.0,0.0,102.2862,False
1721407102.8947341,0.3522,0.0628,-0.6642,0.0094,0.002,101.5831,False,0.4727,0.6283,0.7451,-0.0132,0.0062,102.4737,False
1721407102.9251103,0.2786,0.0628,-4.5671,0.005,0.022,101.3956,False,0.5472,0.6283,4.7974,-0.022,0.0057,102.38,False
1721407102.9542866,0.1477,0.0628,-4.8275,-0.0719,0.3299,101.4894,False,0.6058,0.6283,0.5048,0.18,0.5511,102.4737,False
1721407102.9851768,0.0905,0.0628,-0.0852,-0.2073,0.596,101.4894,False,0.612,0.6283,0.0104,0.023,0.0022,102.4269,False
1721407103.0138733,0.0856,0.0628,-0.0492,-0.0024,-0.0,101.4894,False,0.617,0.6283,0.0708,0.0078,0.0035,102.38,False
1721407103.0446286,0.0853,0.0628,0.2342,-0.0173,0.0006,101.3956,False,0.6191,0.6283,0.1866,0.0133,0.0029,102.4269,False
1721407103.0744104,0.0842,0.0628,0.1673,-0.0093,0.0013,101.4894,False,0.6185,0.6283,-0.0954,0.0306,0.0183,102.4737,False
1721407103.105275,0.0834,0.0628,0.1954,-0.0098,0.0009,101.4894,False,0.6186,0.6283,-0.1135,0.0312,0.0136,102.3331,False
1721407103.1350093,0.0831,0.0628,0.0503,-0.0028,-0.001,101.5831,False,0.6183,0.6283,-0.1998,0.0346,0.0196,102.4269,False
1721407103.1652474,0.0828,0.0628,0.1427,0.0028,0.0002,101.4425,False,0.6183,0.6283,-0.2021,0.0306,0.0165,102.3331,False
1721407103.1940758,0.0824,0.0628,-0.0152,0.0098,0.0014,101.63,False,0.6183,0.6283,-0.3249,0.0478,0.0353,102.4269,False
1721407103.2248023,0.0813,0.0628,-0.2165,0.0088,0.0033,101.4425,False,0.618,0.6283,-0.3398,0.0432,0.0324,102.3331,False
1721407103.2545342,0.0809,0.0628,-0.0753,0.0068,0.0011,101.63,False,0.618,0.6283,-0.3302,0.0432,0.0297,102.38,False
1721407103.28439,0.0809,0.0628,-0.0785,0.0019,-0.0,101.5362,False,0.6187,0.6283,-0.183,0.0386,0.0191,102.38,False
1721407103.3140533,0.0814,0.0628,-0.0742,0.0107,0.0034,101.4894,False,0.6184,0.6283,-0.26,0.0299,0.0186,102.3331,False
1721407103.344282,0.0809,0.0628,-0.143,-0.001,-0.0011,101.4894,False,0.619,0.6283,-0.2089,0.0287,0.019,102.3331,False
1721407103.3748422,0.0814,0.0628,0.0201,-0.0049,-0.0002,101.3956,False,0.6189,0.6283,-0.1643,0.0359,0.0189,102.4269,False
1721407103.4046843,0.0808,0.0628,-0.1261,0.0203,0.004,101.3956,False,0.6189,0.6283,-0.2494,0.0392,0.0183,102.38,False
1721407103.434719,0.0806,0.0628,-0.1461,0.0008,-0.0004,101.5362,False,0.6184,0.6283,-0.2367,0.0253,0.016,102.4269,False
1721407103.4639847,0.0808,0.0628,0.0125,-0.001,-0.0011,101.4894,False,0.6188,0.6283,-0.2515,0.0281,0.0193,102.2394,False
1721407103.4949112,0.0797,0.0628,-0.2984,0.0181,0.0083,101.4894,False,0.6188,0.6283,-0.1712,0.0259,0.0132,102.4269,False
1721407103.5254273,0.0795,0.0628,-0.2443,0.0053,0.0048,101.4894,False,0.6183,0.6283,-0.306,0.028,0.0167,102.1456,False
1721407103.5556571,0.0798,0.0628,-0.0849,0.0024,0.0001,101.5362,False,0.6184,0.6283,-0.2048,0.0292,0.0144,102.4269,False
1721407103.5854073,0.0792,0.0628,-0.293,0.0132,0.0064,101.5362,False,0.6185,0.6283,-0.2832,0.0392,0.0246,102.2862,False
1721407103.616597,0.0796,0.0628,-0.0805,-0.0043,0.0006,101.4425,False,0.6184,0.6283,-0.2381,0.0299,0.0176,102.4269,False
1721407103.646639,0.0796,0.0628,-0.1465,0.0084,0.0014,101.5831,False,0.6186,0.6283,-0.2503,0.0226,0.0142,102.38,False
1721407103.6757953,0.0794,0.0628,-0.0939,0.0005,-0.0004,101.4894,False,0.6185,0.6283,-0.2567,0.0306,0.0177,102.2394,False
1721407103.7058036,0.0791,0.0628,-0.2116,0.018,0.0049,101.4894,False,0.6187,0.6283,-0.2903,0.0272,0.0165,102.2862,False
