timestamp,position 1,command_position 1,velocity 1,torque 1,power 1,pressure 1,foot_contact 1,position 3,command_position 3,velocity 3,torque 3,power 3,pressure 3,foot_contact 3
1721406051.086186,0.799,0.0628,-0.0206,0.0,0.0,101.8644,False,0.3724,0.6283,0.0168,0.0,0.0,102.38,False
1721406051.1123185,0.7911,0.0628,-0.8082,0.0175,0.0099,101.8175,False,0.3808,0.6283,1.0153,-0.0182,0.0047,102.5206,False
1721406051.142595,0.7192,0.0628,-4.8614,0.0288,0.0047,101.8175,False,0.457,0.6283,5.0222,-0.017,-0.0089,102.5206,False
1721406051.1724393,0.5716,0.0628,-7.8162,0.0038,0.0236,101.8644,False,0.5696,0.6283,3.5924,0.0724,0.354,102.38,False
1721406051.2022343,0.3453,0.0628,-10.4974,0.0136,0.0214,101.8644,False,0.6035,0.6283,-0.0568,0.0681,0.0825,102.2862,False
1721406051.2323794,0.1523,0.0628,-5.3263,-0.1151,0.6884,101.9581,False,0.6092,0.6283,0.0023,0.0116,0.0062,102.4269,False
1721406051.2622457,0.0676,0.0628,-0.8815,-0.189,0.4499,101.8644,False,0.6174,0.6283,0.0492,0.0196,0.0148,102.2862,False
1721406051.2911174,0.0819,0.0628,1.0514,-0.0333,0.0183,101.8644,False,0.6192,0.6283,-0.1687,0.0185,0.0085,102.3331,False
1721406051.3229277,0.081,0.0628,-0.0647,-0.0019,-0.0007,101.8644,False,0.6188,0.6283,-0.2048,0.0312,0.0153,102.4269,False
1721406051.3521054,0.0825,0.0628,-0.012,0.0042,0.0001,101.7706,False,0.6184,0.6283,-0.2967,0.0346,0.0214,102.4737,False
1721406051.3818865,0.0822,0.0628,-0.0672,-0.0049,-0.0014,101.8175,False,0.6187,0.6283,-0.2655,0.0485,0.0282,102.4737,False
1721406051.4124777,0.0819,0.0628,-0.0205,-0.0057,-0.0018,101.8175,False,0.6187,0.6283,-0.3375,0.0498,0.0307,102.6144,False
