timestamp,position 1,command_position 1,velocity 1,torque 1,power 1,pressure 1,foot_contact 1,position 3,command_position 3,velocity 3,torque 3,power 3,pressure 3,foot_contact 3
1721405911.0708728,0.6532,0.0628,0.051,0.0,0.0,100.9269,False,0.1474,0.6283,0.0344,0.0,0.0,102.38,False
1721405911.1005793,0.6411,0.0628,-0.9945,-0.0014,-0.0011,100.9269,False,0.162,0.6283,1.5224,-0.0181,0.0053,102.38,False
1721405911.132167,0.5529,0.0628,-5.1489,-0.0066,0.0128,100.88,False,0.2555,0.6283,5.4858,-0.006,0.0172,102.2394,False
1721405911.1619265,0.3839,0.0628,-8.6942,0.0146,-0.0021,100.9737,False,0.4246,0.6283,8.8109,-0.0095,-0.0268,102.4737,False
1721405911.192095,0.186,0.0628,-6.651,-0.062,0.364,100.9737,False,0.5704,0.6283,3.5397,0.153,0.7028,102.5206,False
1721405911.2212906,0.0879,0.0628,-1.8025,-0.1583,0.4399,100.88,False,0.6134,0.6283,0.5257,0.1088,0.2303,102.3331,False
1721405911.2521431,0.081,0.0628,0.1292,-0.0302,0.0137,100.9737,False,0.6144,0.6283,-0.0048,0.0159,0.006,102.38,False
1721405911.2815409,0.0787,0.0628,-0.1367,0.0082,0.0018,100.88,False,0.6152,0.6283,-0.0008,0.0229,0.002,102.4737,False
1721405911.3123603,0.0787,0.0628,-0.2151,0.0207,0.0037,100.9269,False,0.6144,0.6283,-0.0102,0.0101,0.0072,102.5206,False
1721405911.3421915,0.0795,0.0628,-0.1776,0.0158,0.0023,100.88,False,0.6108,0.6283,-0.2809,0.0368,0.0134,102.4737,False
1721405911.3720767,0.0796,0.0628,-0.0354,0.0023,-0.0014,100.9737,False,0.6082,0.6283,-0.0785,0.0179,0.0081,102.4737,False
1721405911.4029682,0.0785,0.0628,-0.1557,0.0002,0.0004,100.9737,False,0.608,0.6283,-0.0241,0.005,-0.0001,102.2862,False
1721405911.4340332,0.0786,0.0628,-0.1588,0.0034,0.0008,100.88,False,0.6073,0.6283,-0.0994,0.0045,0.0043,102.4269,False
1721405911.4648893,0.0784,0.0628,-0.2106,0.0178,0.003,100.9737,False,0.6076,0.6283,-0.0007,0.0149,-0.0017,102.5206,False
1721405911.4953024,0.0784,0.0628,-0.131,-0.0015,0.0,100.9737,False,0.6072,0.6283,-0.1765,0.028,0.0033,102.2862,False
1721405911.5256786,0.0783,0.0628,-0.1034,-0.0013,0.0,100.88,False,0.6062,0.6283,-0.2629,0.023,0.0081,102.2862,False
1721405911.5566425,0.0788,0.0628,0.0079,-0.0097,0.0,100.9269,False,0.607,0.6283,-0.0953,0.0144,0.0047,102.4269,False
1721405911.5864384,0.0782,0.0628,-0.0305,-0.0206,0.0042,100.9737,False,0.6069,0.6283,-0.1587,0.0312,0.0048,102.5675,False
1721405911.6167254,0.0785,0.0628,-0.0648,0.0019,0.0015,100.9737,False,0.6071,0.6283,-0.116,0.0113,0.0033,102.5206,False
1721405911.648244,0.0783,0.0628,-0.1157,0.005,0.0013,100.9737,False,0.6072,0.6283,-0.2209,0.0262,0.0101,102.5206,False
1721405911.6817641,0.0795,0.0628,0.2859,-0.0334,0.0113,100.9269,False,0.6079,0.6283,-0.1417,0.0245,0.0085,102.5206,False
1721405911.7102182,0.0786,0.0628,-0.0947,0.0048,-0.0004,100.9737,False,0.6074,0.6283,-0.2887,0.0529,0.0138,102.3331,False
1721405911.7391,0.0784,0.0628,-0.108,0.0084,-0.0013,100.9737,False,0.6071,0.6283,-0.2776,0.0343,0.0101,102.5675,False
1721405911.7689676,0.0782,0.0628,-0.2184,0.013,0.0041,100.88,False,0.607,0.6283,-0.328,0.0243,0.013,102.5206,False
1721405911.7987955,0.0785,0.0628,-0.1296,0.013,0.0017,100.88,False,0.6078,0.6283,-0.1787,0.0295,0.0075,102.4737,False
