timestamp,position 1,velocity 1,torque 1,power 1,pressure 1,foot_contact 1,position 3,velocity 3,torque 3,power 3,pressure 3,foot_contact 3
1719316004.7360983,0.131,-0.0012,0.0,0.0,102.6612,False,0.4842,-0.0064,0.0,0.0,101.9112,False
1719316004.7636158,0.1313,-0.0099,-0.0235,0.0,102.6144,False,0.4845,0.007,-0.0175,-0.0,101.7237,False
1719316004.7946558,0.1314,0.0096,-0.0104,0.0,102.6144,False,0.4845,0.0123,-0.0175,-0.0,101.8644,False
1719316004.8271039,0.1308,-0.0299,0.0192,0.0,102.6144,False,0.4845,-0.0048,-0.0349,0.0,101.7237,False
1719316004.8582764,0.1309,0.0055,0.0244,0.0,102.6144,False,0.4844,-0.0127,-0.0218,-0.0,101.7706,False
1719316004.88983,0.1313,0.056,-0.0047,0.0,102.7081,False,0.4839,-0.0093,0.0306,0.0,101.8175,False
1719316004.921475,0.1311,0.0147,-0.0082,-0.0,102.7081,False,0.484,0.0017,0.0129,0.0,101.9112,False
1719316004.9518769,0.1311,0.009,0.0012,0.0,102.6612,False,0.484,-0.0039,0.0132,0.0,101.7706,False
1719316004.982709,0.1311,0.0003,0.012,0.0,102.6612,False,0.484,-0.0068,0.0219,0.0,101.7237,False
1719316005.0142267,0.1312,0.0101,-0.0047,0.0,102.6612,False,0.4844,0.0464,0.0043,0.0,101.9112,False
1719316005.0457022,0.1311,-0.0065,0.0,0.0,102.5675,False,0.4843,0.0092,0.0087,0.0,101.8644,False
1719316005.0762851,0.1311,-0.0045,-0.0117,-0.0,102.6144,False,0.4842,-0.003,-0.0087,-0.0,101.7706,False
1719316005.106331,0.1311,0.01,-0.001,-0.0,102.5206,False,0.4842,-0.0066,0.0043,0.0,101.8175,False
1719316005.1370013,0.1311,0.0037,0.006,0.0,102.6612,False,0.4843,0.0002,0.0043,0.0,101.9581,False
1719316005.1679387,0.1311,0.0071,0.0139,0.0,102.5675,False,0.4842,-0.0062,0.0044,0.0,101.8175,False
1719316005.1992726,0.1311,-0.0013,0.0022,0.0,102.6612,False,0.4842,-0.0036,-0.0005,0.0,101.9581,False
1719316005.2298448,0.1312,0.0096,0.0082,0.0,102.7081,False,0.4842,-0.0242,0.0041,0.0,101.8644,False
1719316005.2604241,0.1311,0.0009,-0.0082,-0.0,102.7081,False,0.4843,0.0116,0.0043,0.0,101.9112,False
