timestamp,position 1,command_position 1,velocity 1,torque 1,power 1,pressure 1,foot_contact 1,position 3,command_position 3,velocity 3,torque 3,power 3,pressure 3,foot_contact 3
1719582524.6940124,-0.0001,0.0,0.005,0.0,0.0,101.9581,False,-0.0026,0.0,-0.159,0.0,0.0,104.5275,False
1719582524.7272093,0.0001,0.0,0.0433,0.0081,-0.001,102.005,False,-0.0027,0.0,-0.0099,0.0041,0.0004,104.5275,True
1719582524.7575643,0.0001,0.0,0.0502,0.0033,-0.0004,102.0519,False,-0.0025,0.0,0.0399,0.0029,-0.001,104.4737,True
1719582524.7869859,-0.0004,0.0,-0.0522,-0.0,-0.0001,101.9581,False,-0.0024,0.0,0.0373,0.0013,0.0009,104.5275,True
1719582524.8172219,-0.0001,0.0,0.0211,0.0014,0.0001,102.0519,False,-0.0022,0.0,0.1087,0.005,-0.0005,104.4737,True
1719582524.8471293,-0.0002,0.0,-0.0317,0.0034,-0.0006,102.0987,False,-0.0025,0.0,-0.0363,0.0008,-0.0016,104.5275,True
1719582524.8763494,0.0,0.0,0.0642,-0.0029,-0.0005,102.0519,False,-0.0023,0.0,0.0562,0.015,-0.0024,104.3662,True
1719582524.906889,-0.0004,0.0,-0.0253,-0.0048,0.0005,102.0519,False,-0.003,0.0,-0.1124,-0.002,-0.0007,104.5275,True
1719582524.9366713,0.0001,0.0,0.0313,-0.0158,-0.0002,101.9581,False,-0.0024,0.0,0.0496,-0.0021,-0.0007,104.3662,True
1719582524.9665174,0.0001,0.0,0.0879,-0.0,0.0,102.0519,False,-0.0023,0.0,0.0392,-0.0129,0.0008,104.5275,True
1719582524.996568,-0.0001,0.0,0.0519,0.0014,0.0002,101.9581,False,-0.0023,0.0,0.0318,0.0021,0.0003,104.5812,True
1719582525.0262825,0.0001,0.0,0.1136,-0.0014,-0.0002,101.9112,False,-0.0028,0.0,-0.1218,-0.013,-0.0009,104.4737,True
1719582525.05614,-0.0002,0.0,-0.0533,-0.0014,-0.0005,102.0987,False,-0.0028,0.0,-0.1061,-0.0021,-0.0002,104.5812,True
1719582525.0862837,-0.0002,0.0,-0.0149,-0.0014,0.0004,102.0519,False,-0.0026,0.0,0.0216,-0.0071,-0.0014,104.3125,True
1719582525.1158164,-0.0004,0.0,-0.0272,0.0062,-0.0007,102.0519,False,-0.0028,0.0,-0.0514,-0.0,0.0,104.3662,True
1719582525.1459086,0.0001,0.0,0.102,-0.0019,0.0006,101.9581,False,-0.0024,0.0,0.054,0.0029,-0.0007,104.2588,True
1719582525.1760256,-0.0001,0.0,-0.0065,-0.0095,0.0007,101.9112,False,-0.0023,0.0,0.0714,0.01,-0.0012,104.3125,True
1719582525.2067077,0.0001,0.0,0.074,-0.0033,0.0004,102.0519,False,-0.0029,0.0,-0.073,-0.0009,0.0008,104.5812,True
1719582525.2363057,-0.0004,0.0,-0.0304,-0.0,0.0002,102.0987,False,-0.0023,0.0,0.0907,0.01,-0.0015,104.5812,True
1719582525.2658772,-0.0001,0.0,0.0204,0.0115,-0.0019,102.005,False,-0.0031,0.0,-0.0642,0.0039,-0.0018,104.5275,True
1719582525.2958937,-0.0001,0.0,0.0358,0.0014,0.0003,102.0519,False,-0.0023,0.0,0.1148,0.0029,-0.0009,104.5275,True
1719582525.3266113,-0.0002,0.0,-0.0008,-0.0034,0.0006,102.0519,False,-0.0025,0.0,0.0796,0.0121,-0.0011,104.4737,True
