timestamp,position 1,command_position 1,velocity 1,torque 1,power 1,pressure 1,foot_contact 1,position 3,command_position 3,velocity 3,torque 3,power 3,pressure 3,foot_contact 3
1719826708.9798927,0.0001,0.0,0.0341,0.0,0.0,101.8175,False,-0.0003,0.0,0.0233,0.0,0.0,103.3988,False
1719826709.0206177,0.0,0.0,0.0257,0.0075,0.0006,101.6769,False,-0.0004,0.0,-0.0174,0.0006,0.0008,103.1837,True
1719826709.0497036,0.0002,0.0,0.0994,0.0067,-0.0011,101.7706,False,-0.0002,0.0,-0.0081,-0.0106,-0.0028,103.2912,True
1719826709.0793061,0.0001,0.0,0.0159,-0.0048,-0.0,101.6769,False,-0.0002,0.0,0.012,-0.0028,-0.0012,103.5062,True
1719826709.124342,-0.0002,0.0,-0.0586,0.0034,-0.0005,101.63,False,-0.0003,0.0,-0.069,0.0078,0.0013,103.2912,True
1719826709.154243,0.0001,0.0,0.0303,0.0,-0.0,101.8644,False,0.0,0.0,0.0588,-0.0078,-0.002,103.345,True
1719826709.1837153,-0.0002,0.0,-0.0895,-0.0095,-0.0006,101.7706,False,0.0003,0.0,0.1496,-0.0028,0.0016,103.1837,True
1719826709.2142692,0.0002,0.0,0.0434,-0.0034,0.0005,101.7706,False,-0.0006,0.0,-0.1144,-0.005,-0.0005,103.5062,True
1719826709.2451339,-0.0003,0.0,-0.0107,-0.0095,0.0004,101.7706,False,-0.0004,0.0,-0.0113,-0.0072,-0.0002,103.5062,True
1719826709.2748988,0.0,0.0,0.0217,-0.0115,0.0007,101.63,False,0.0002,0.0,0.1085,0.0028,0.0011,103.2912,True
1719826709.3049545,0.0002,0.0,0.0265,-0.0081,0.0003,101.7706,False,0.0002,0.0,0.075,-0.0055,-0.0024,103.2912,True
1719826709.3336434,-0.0001,0.0,-0.0231,-0.002,0.0011,101.7237,False,-0.0003,0.0,-0.0096,0.0129,0.0003,103.345,True
1719826709.3643897,-0.0001,0.0,0.0097,-0.002,0.001,101.8644,False,-0.0003,0.0,-0.0251,0.0,-0.001,103.4525,True
1719826709.3936696,-0.0001,0.0,-0.037,-0.0014,-0.0004,101.7237,False,-0.0002,0.0,0.0103,0.0095,-0.0023,103.3988,True
1719826709.4242613,-0.0003,0.0,-0.0607,0.004,0.0003,101.8175,False,-0.0003,0.0,-0.0193,0.0034,0.0016,103.2912,True
1719826709.4534488,0.0004,0.0,0.0948,0.0095,-0.001,101.7237,False,-0.0002,0.0,-0.0565,-0.0006,-0.0017,103.2912,True
1719826709.4837136,0.0,0.0,0.0559,-0.0129,0.0014,101.7237,False,0.0,0.0,0.0473,-0.0056,-0.002,103.345,True
1719826709.5137718,-0.0003,0.0,-0.0436,0.0048,-0.0001,101.8175,False,0.0,0.0,0.0244,-0.01,-0.0008,103.345,True
1719826709.5432146,0.0002,0.0,0.0864,-0.0034,0.0006,101.6769,False,-0.0008,0.0,-0.1823,0.01,-0.0003,103.4525,True
1719826709.572279,0.0001,0.0,0.0606,-0.0034,0.0005,101.7706,False,-0.0005,0.0,-0.0949,-0.0022,0.0005,103.5062,True
1719826709.602797,-0.0001,0.0,-0.0015,0.0048,-0.0006,101.63,False,-0.0003,0.0,-0.0173,-0.0135,-0.0041,103.3988,True
1719826709.6324425,0.0002,0.0,0.0237,-0.0048,-0.0001,101.8175,False,-0.0002,0.0,0.0321,0.0044,-0.0017,103.3988,True
1719826709.6623979,-0.0002,0.0,-0.1128,-0.0061,-0.0008,101.7706,False,-0.0001,0.0,0.0411,-0.0,0.0,103.2912,True
1719826709.692372,-0.0001,0.0,-0.0669,-0.0007,0.0012,101.6769,False,-0.0001,0.0,0.0704,-0.0078,-0.0014,103.345,True
1719826709.722084,0.0004,0.0,0.0926,0.0014,0.0004,101.7237,False,-0.0006,0.0,-0.1604,-0.005,-0.0014,103.2912,True
1719826709.7516072,0.0001,0.0,0.0278,0.0095,0.0,101.6769,False,-0.0004,0.0,-0.0782,0.01,0.0003,103.3988,True
1719826709.7815573,-0.0004,0.0,-0.1059,0.0013,0.0005,101.7706,False,-0.0004,0.0,-0.0477,-0.0028,-0.001,103.1837,True
1719826709.811139,0.0005,0.0,0.1127,-0.0014,-0.0008,101.6769,False,-0.0006,0.0,-0.072,0.0007,0.0012,103.3988,True
1719826709.8404615,0.0,0.0,-0.0197,-0.0014,-0.0007,101.63,False,-0.0001,0.0,0.0277,-0.0028,0.0,103.345,True
1719826709.8706017,0.0001,0.0,0.0538,-0.0129,-0.0003,101.8175,False,-0.0002,0.0,-0.0061,0.0,0.001,103.1837,True
1719826709.9001727,0.0002,0.0,0.0853,0.0123,0.0002,101.7237,False,-0.0002,0.0,-0.0109,-0.0012,-0.0039,103.3988,True
1719826709.930158,0.0001,0.0,0.0443,-0.0034,0.0005,101.7706,False,-0.0007,0.0,-0.1437,0.0057,0.0014,103.345,True
1719826709.9598033,0.0002,0.0,0.0968,0.0048,0.0011,101.7237,False,0.0001,0.0,0.0822,-0.0028,0.0016,103.2375,True
1719826709.9892387,0.0,0.0,0.054,0.0014,0.0002,101.63,False,0.0,0.0,0.0657,0.0022,-0.0009,103.2375,True
1719826710.0204327,-0.0001,0.0,-0.0354,0.0068,-0.001,101.7237,False,-0.0001,0.0,0.041,-0.0072,-0.0001,103.2375,True
1719826710.0496721,0.0,0.0,0.0059,-0.0095,-0.0008,101.6769,False,0.0,0.0,0.0672,-0.0073,-0.001,103.5062,True
1719826710.0788383,-0.0001,0.0,-0.0379,-0.0061,-0.0009,101.6769,False,0.0001,0.0,0.0847,0.0073,-0.0002,103.2912,True
