timestamp,position 1,command_position 1,velocity 1,torque 1,power 1,pressure 1,foot_contact 1,position 3,command_position 3,velocity 3,torque 3,power 3,pressure 3,foot_contact 3
1721500905.4973793,-0.121,-3.1416,0.1034,0.0,0.0,98.0206,False,1.0003,3.1416,-0.0204,0.0,0.0,104.2588,False
1721500905.5218332,-0.1276,6.2832,-0.7866,0.0144,0.0074,98.1144,False,1.0091,0.0,1.0715,0.1045,0.3874,104.205,True
1721500905.5529926,-0.0581,6.2832,3.4879,0.008,0.0122,98.0675,False,1.0248,0.0,0.5542,0.0028,-0.0002,104.0437,True
1721500905.5838528,0.105,6.2832,8.0357,-0.0179,-0.0323,98.0206,False,1.0261,0.0,0.1067,0.0128,-0.0009,104.5275,True
1721500905.6132638,0.3498,6.2832,10.9196,-0.0165,-0.096,98.1612,False,1.0282,0.0,-0.0328,-0.005,0.0013,104.85,True
1721500905.6433787,0.6766,6.2832,13.691,-0.0067,-0.0368,98.0675,False,1.0433,0.0,1.4834,-0.0069,-0.0031,105.065,True
1721500905.6751406,1.1063,6.2832,17.0466,-0.0219,-0.2093,98.1144,False,1.148,0.0,3.5452,0.0063,0.0057,105.1725,True
1721500905.706556,1.626,6.2832,19.8474,-0.0152,-0.2278,97.9737,False,1.2547,0.0,3.3226,-0.0001,0.0003,105.0112,True
1721500905.7363505,2.2048,6.2832,22.2582,-0.0053,-0.1038,98.1144,False,1.3539,0.0,3.7176,-0.0088,-0.0084,104.7425,True
1721500905.766457,2.9005,6.2832,25.4456,-0.0106,-0.214,98.1612,False,1.493,0.0,4.6904,0.0063,0.0088,104.7962,True
1721500905.7969346,3.6487,6.2832,28.3513,0.0195,0.2135,97.9269,False,1.6172,0.0,3.4509,0.0022,-0.0008,104.3125,True
1721500905.8275254,4.4651,6.2832,26.4472,0.1107,2.5248,98.0675,False,1.7505,0.0,4.7988,-0.0071,-0.0122,103.775,True
1721500905.8592072,5.1897,6.2832,21.4351,0.1673,3.7234,97.9737,False,1.8993,0.0,3.8736,0.0004,-0.0011,103.56,True
1721500905.8902807,5.7841,6.2832,17.5729,0.1519,2.5796,98.0675,False,1.9389,0.0,0.0418,-0.0015,0.0001,103.3988,True
1721500905.9214218,6.2543,6.2832,13.0824,0.1877,2.5899,98.1144,False,1.948,0.0,-0.2901,-0.0006,0.0004,103.1837,True
1721500905.950615,6.5785,6.2832,9.5615,0.1532,1.5147,98.0675,False,1.9482,0.0,-0.1476,-0.0035,0.0013,102.8956,True
1721500905.9826837,6.794,-3.1416,5.5471,0.1521,0.8149,98.1612,False,1.9468,3.1416,-0.0299,0.008,0.0014,102.6144,False
1721500906.0131383,6.885,-3.1416,1.8021,0.1332,0.2923,98.1144,False,2.0206,3.1416,4.5747,-0.0117,-0.0121,102.1925,False
1721500906.044722,6.8632,-3.1416,-2.6003,0.1991,0.1813,98.0206,False,2.1825,3.1416,8.0071,-0.0165,-0.009,102.1925,False
1721500906.0757527,6.7417,-3.1416,-5.7109,0.161,-0.0144,97.9269,False,2.4356,3.1416,11.1411,0.0132,0.0167,102.0519,False
1721500906.1055784,6.5367,-3.1416,-8.2019,0.0161,-0.0547,98.0675,False,2.7463,3.1416,11.8929,0.0964,0.9438,102.0519,False
1721500906.1362565,6.2302,-3.1416,-12.0867,0.0039,0.0198,98.1144,False,2.9985,3.1416,7.0166,0.1717,1.2702,102.1456,False
1721500906.1663704,5.8251,-3.1416,-15.5513,-0.0041,-0.1106,98.1144,False,3.131,3.1416,3.5256,0.092,0.3345,102.2394,False
1721500906.196523,5.3366,-3.1416,-18.9643,0.0298,-0.3035,98.1144,False,3.1426,3.1416,-0.6952,0.0825,0.0683,102.1456,False
1721500906.2276294,4.7529,-3.1416,-22.0344,0.0407,-0.4126,98.0675,False,3.1169,3.1416,-0.2301,0.0302,0.0069,102.5675,False
1721500906.2568345,4.1043,-3.1416,-24.7222,-0.0011,-0.0032,98.1144,False,3.1155,3.1416,-0.2727,0.0251,0.0113,102.7081,False
1721500906.286546,3.3569,-3.1416,-27.595,0.0062,-0.0802,98.0675,False,3.117,3.1416,-0.2673,0.0372,0.0199,102.8487,False
1721500906.3162656,2.5255,-3.1416,-30.8584,0.0102,-0.0828,98.0675,False,3.1175,3.1416,-0.1663,0.0275,0.0118,102.8019,False
1721500906.346434,1.5668,-3.1416,-33.665,0.0237,-0.501,98.0675,False,3.1168,3.1416,-0.1404,0.0222,0.0076,102.9894,False
1721500906.3770993,0.5276,-3.1416,-36.757,0.013,0.2743,98.0206,False,3.1156,3.1416,-0.1638,0.0279,0.0061,102.755,False
1721500906.408713,-0.4907,-3.1416,-31.8291,-0.1462,5.1481,98.1144,False,3.1144,3.1416,-0.1293,0.0251,0.006,102.8019,False
1721500906.438602,-1.3611,-3.1416,-27.3904,-0.185,4.8219,98.0675,False,3.114,3.1416,-0.0909,0.0156,0.0079,102.8487,False
1721500906.470152,-2.1493,-3.1416,-23.6387,-0.1458,3.5589,98.2081,False,3.1164,3.1416,-0.0937,0.0376,0.0131,103.2375,False
1721500906.500398,-2.7974,6.2832,-19.4121,-0.1593,3.0802,98.255,False,3.1204,0.0,0.1251,0.1714,0.4975,103.0831,True
1721500906.530784,-3.2983,6.2832,-15.0973,-0.1363,2.1149,98.3019,False,3.0358,0.0,-1.5016,-0.0228,0.0054,102.6612,True
1721500906.5614011,-3.6556,-3.1416,-10.9826,-0.1437,1.4074,98.3956,False,3.0973,3.1416,2.6424,-0.0,-0.0012,102.2862,False
1721500906.5925155,-3.876,-3.1416,-6.4936,-0.1607,0.9547,98.3487,False,3.143,3.1416,-0.1564,0.0698,0.1239,102.1456,False
1721500906.623521,-3.9691,-3.1416,-2.2008,-0.14,0.2438,98.63,False,3.1446,3.1416,0.224,-0.0352,0.0014,102.2394,False
1721500906.654972,-3.9375,-3.1416,1.7729,-0.0769,-0.0187,99.005,False,3.1415,3.1416,-0.3722,0.0132,0.0085,102.1925,False
1721500906.6853683,-3.7947,-3.1416,5.8439,-0.0313,-0.0319,99.0519,False,3.1419,3.1416,-0.3349,0.035,0.0167,102.38,False
1721500906.7144089,-3.5531,-3.1416,9.4829,-0.1153,-0.1914,99.0519,False,3.1406,3.1416,-0.141,0.0098,0.0008,102.4737,False
1721500906.7458405,-3.2608,-3.1416,7.5148,0.0157,0.0847,98.7237,False,3.1385,3.1416,-0.1371,0.0128,0.005,102.6144,False
