Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-309.080322,-819.391052,-173.084717,-280.861877,-790.850220,-263.059296,-335.085388,-345.997040,-122.760292,-283.823883,-662.288879,-269.041534,-311.890411,-285.431274,-196.461411,-299.407867,-352.601776,-304.682617,-278.978210,-614.295715,-407.457855,-309.355194,-443.075836,-459.725800,-298.302917,-267.380402,-427.519196
1,0.008000,-309.713654,-815.145935,-168.486893,-281.509949,-788.651978,-258.973969,-335.192566,-343.815308,-122.707611,-284.346375,-660.226196,-267.914612,-311.937378,-283.546387,-196.592850,-299.662262,-352.011078,-304.046051,-279.302155,-613.914734,-406.911713,-309.652039,-442.617950,-459.151520,-298.376434,-267.262360,-427.368195
2,0.017000,-310.555145,-810.449036,-163.745667,-282.270142,-786.038757,-254.668594,-335.396545,-341.681335,-122.610031,-284.694702,-657.910583,-266.822021,-312.157837,-281.682922,-196.705276,-299.909637,-351.647339,-303.616364,-279.640869,-613.617493,-406.477722,-310.021393,-442.296906,-458.706543,-298.539825,-266.957031,-427.036438
3,0.025000,-311.282501,-805.469666,-158.867310,-282.880859,-783.224487,-250.490906,-335.564423,-339.484497,-122.454437,-285.194366,-655.500183,-265.705475,-312.100372,-280.408905,-197.435516,-300.157928,-351.450562,-303.420044,-280.071991,-613.449951,-406.134521,-310.376953,-442.186798,-458.473175,-298.720734,-266.762878,-426.808533
4,0.033000,-311.921051,-800.413696,-154.105423,-283.468445,-780.240173,-246.205032,-335.679260,-337.412537,-122.493332,-285.611267,-652.989807,-264.670837,-312.148285,-279.273438,-198.209534,-300.266144,-351.468903,-303.360931,-280.566650,-613.380493,-405.817169,-310.730438,-442.275696,-458.259827,-298.952209,-266.676971,-426.656189
5,0.042000,-312.389435,-794.835327,-149.368347,-284.023987,-777.126587,-241.819565,-335.670410,-335.562500,-122.577141,-286.063385,-650.442444,-263.693207,-312.068939,-278.296692,-198.957230,-300.372681,-351.622742,-303.342102,-281.013855,-613.518799,-405.550354,-311.097534,-442.495361,-458.022736,-299.092957,-266.659851,-426.516235
6,0.050000,-313.115112,-789.057495,-144.244934,-284.577728,-774.043762,-237.340576,-335.735504,-333.444366,-122.468414,-286.499756,-647.907715,-262.745544,-311.986237,-277.293335,-199.670944,-300.509674,-351.816284,-303.177521,-281.372253,-613.712585,-405.384796,-311.411865,-442.672913,-457.883179,-299.432983,-267.027527,-426.453644
7,0.058000,-313.486969,-783.279785,-139.561523,-285.144867,-770.829651,-232.892136,-335.833038,-331.382599,-122.532448,-286.912811,-645.503967,-261.946014,-311.979095,-276.183044,-200.373749,-300.610229,-352.070526,-302.936584,-281.748413,-614.108215,-405.203888,-311.749725,-442.956390,-457.738861,-299.690979,-267.334869,-426.289246
8,0.067000,-313.689026,-780.456482,-136.848297,-285.683136,-767.747498,-230.227890,-335.982361,-329.391937,-122.452293,-287.410461,-642.788818,-261.052002,-312.133759,-275.244659,-201.113571,-300.821777,-352.482819,-302.652557,-282.117371,-614.609924,-404.932739,-312.020813,-443.377014,-457.499390,-299.967621,-267.763123,-426.018768
9,0.075000,-314.132935,-778.689819,-137.298584,-285.824524,-765.369507,-230.592545,-336.168182,-327.466461,-122.486900,-287.778778,-640.242615,-260.527710,-312.337463,-274.367188,-201.832489,-301.137726,-352.960724,-302.411041,-282.395447,-614.950500,-404.813782,-312.267731,-443.723328,-457.295837,-300.203857,-268.083618,-425.714203
10,0.083000,-314.117340,-776.747375,-137.325714,-285.610962,-763.555420,-230.547241,-336.249756,-325.441162,-122.658699,-287.720795,-638.471619,-260.679108,-312.442535,-273.455688,-202.810516,-301.348999,-353.399139,-302.245605,-282.397278,-615.229309,-405.309479,-312.533752,-443.984497,-457.368835,-300.593597,-268.313721,-425.472931
11,0.092000,-313.675262,-774.786926,-136.611908,-285.227417,-762.411621,-229.646820,-336.322693,-323.454407,-122.737015,-287.301239,-637.656433,-261.105774,-312.667114,-272.523529,-203.563538,-301.394867,-353.739349,-302.067108,-282.299957,-615.634583,-405.947021,-312.771393,-444.295288,-457.549194,-300.997284,-268.753998,-425.358246
12,0.100000,-313.814789,-773.317566,-136.084518,-285.124908,-761.892883,-229.252075,-336.568726,-321.553101,-122.724487,-286.908630,-637.442444,-261.738892,-312.756012,-271.646820,-204.321579,-301.308868,-354.176849,-301.666901,-282.223480,-616.183411,-406.624481,-312.961334,-444.733856,-457.740143,-301.147552,-269.294342,-425.135406
13,0.108000,-313.922852,-771.756409,-135.899246,-285.292419,-761.679565,-229.114685,-336.458893,-319.750885,-122.699554,-286.906769,-637.518616,-262.487274,-312.604279,-270.954346,-204.895630,-301.295715,-354.673767,-301.286652,-282.220398,-616.918823,-407.449249,-312.948273,-445.350708,-458.031708,-301.041290,-269.829285,-424.788605
14,0.117000,-314.009827,-770.328979,-135.698349,-285.591187,-761.581787,-228.942032,-336.492798,-317.882599,-122.773575,-287.134369,-637.734375,-263.217072,-312.459015,-270.094421,-205.578690,-301.280396,-355.208832,-300.775360,-282.373016,-617.634644,-408.266083,-312.926544,-445.879730,-458.395782,-300.857666,-270.488647,-424.614929
15,0.125000,-314.339691,-768.833862,-135.378082,-286.073853,-761.365662,-228.791092,-336.614410,-315.945099,-122.887932,-287.275330,-637.834106,-263.944214,-312.439575,-269.254944,-206.153671,-300.891632,-355.544708,-300.392883,-282.552673,-618.580505,-409.102051,-312.889343,-446.563873,-458.800690,-300.631836,-271.249969,-424.505646
