Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-268.506653,-591.482239,-279.352539,-288.179962,-378.816437,-218.948349,-265.693329,-697.678406,-207.814026,-280.388824,-396.700134,-346.860840,-263.904144,-628.730713,-421.385468,-284.928894,-281.298767,-441.995758,-307.290955,-454.423828,-159.692932,-294.150085,-642.628235,-131.845520,-296.752686,-457.528137,-472.767609,,,,,,,,,,,,
1,0.008000,-268.365570,-592.609314,-280.692932,-289.945496,-378.331482,-220.929337,-265.340607,-697.748657,-207.479156,-281.150177,-397.719147,-348.424927,-262.641357,-630.471252,-422.429535,-285.663574,-283.382904,-444.785126,-309.132263,-453.144867,-160.687759,-294.519165,-642.360718,-132.090317,-296.088470,-459.834351,-474.909546,,,,,,,,,,,,
2,0.017000,-268.495697,-593.919556,-281.991608,-292.033264,-377.477325,-222.632324,-265.260590,-698.265503,-207.580246,-282.049652,-398.442963,-349.796051,-261.510986,-632.211853,-423.600983,-286.431793,-285.342682,-447.507874,-311.359406,-451.589539,-161.528824,-295.398773,-642.530396,-132.923615,-295.476196,-461.985992,-476.942535,,,,,,,,,,,,
3,0.025000,-268.710754,-595.732544,-283.387665,-294.561340,-376.338165,-223.906052,-265.306641,-699.349731,-208.193466,-283.184692,-399.025635,-350.552765,-260.349060,-633.969116,-424.998047,-287.075348,-287.295074,-449.942383,-314.132019,-449.745941,-161.956955,-296.731598,-643.296448,-134.035278,-294.973114,-464.195831,-479.052429,,,,,,,,,,,,
4,0.033000,-269.101562,-598.031799,-284.838501,-297.270203,-374.982697,-224.754562,-266.366119,-701.343140,-209.156006,-284.653168,-399.543060,-350.791107,-259.556244,-635.843140,-426.574219,-287.585785,-289.299103,-452.017273,-317.107361,-447.706451,-162.038147,-298.004700,-644.824219,-135.557495,-294.357727,-466.148102,-481.063202,,,,,,,,,,,,
5,0.042000,-269.609344,-600.693481,-286.479401,-300.120544,-373.336975,-225.236099,-266.958099,-703.403442,-209.977325,-285.591858,-399.888397,-350.836151,-258.955353,-637.676758,-428.321259,-287.833069,-291.399292,-453.873535,-320.407196,-445.470612,-161.967133,-299.649323,-646.977234,-137.206894,-293.810394,-468.121307,-483.122650,,,,,,,,,,,,
6,0.050000,-270.311707,-603.716187,-288.352905,-302.725525,-371.679321,-225.631897,-268.114807,-706.387146,-211.733810,-286.729523,-400.000427,-350.440704,-258.472168,-639.634766,-430.361084,-287.994781,-293.369843,-455.501312,-323.530029,-443.168610,-161.745895,-301.457855,-649.887817,-139.177856,-293.304840,-470.159302,-485.162994,,,,,,,,,,,,
7,0.058000,-271.148529,-607.031616,-290.426788,-305.080902,-369.706512,-225.901794,-269.846344,-710.038574,-214.176041,-287.669983,-400.188049,-350.037842,-258.262939,-641.633789,-432.735474,-287.972290,-295.376129,-456.927948,-326.398834,-440.589935,-161.449478,-303.196472,-653.434204,-141.446442,-292.971466,-471.914032,-487.167633,,,,,,,,,,,,
8,0.067000,-271.685974,-610.532715,-292.557526,-306.769531,-367.625000,-226.255188,-270.929688,-713.878174,-216.697769,-288.728149,-400.370331,-349.668274,-258.327698,-643.576355,-435.132294,-288.073029,-297.281311,-458.262177,-328.481781,-438.081451,-161.476349,-304.848358,-657.930298,-144.031158,-292.744781,-473.628143,-489.165314,,,,,,,,,,,,
9,0.075000,-272.428040,-614.093994,-294.684448,-307.749908,-365.429443,-226.783127,-272.008667,-718.327087,-220.004395,-289.633820,-400.332336,-349.396240,-258.458099,-645.251526,-437.635468,-288.270447,-298.948364,-459.522614,-329.555573,-435.440887,-161.901581,-306.216339,-663.112793,-146.698456,-292.657745,-475.195007,-491.110565,,,,,,,,,,,,
10,0.083000,-273.175171,-617.700928,-296.808624,-308.182526,-363.164429,-227.472900,-272.717651,-722.891418,-223.746017,-289.976135,-400.092865,-349.600372,-258.929779,-646.646729,-440.114532,-288.706207,-300.335663,-461.067017,-330.115387,-432.956177,-162.427261,-307.360046,-669.064270,-149.417160,-292.885254,-476.471100,-493.363708,,,,,,,,,,,,
11,0.092000,-273.787628,-621.375305,-298.796143,-308.281830,-360.761292,-228.578735,-273.205933,-727.961548,-227.859863,-290.275299,-399.430115,-350.067505,-259.461731,-647.793640,-442.652832,-288.683746,-301.113800,-463.099945,-330.236481,-430.494446,-163.122345,-307.940704,-675.865479,-152.234543,-293.344910,-477.483002,-495.667236,,,,,,,,,,,,
12,0.100000,-274.037079,-625.171753,-300.618622,-308.039368,-358.285370,-229.967010,-273.410309,-733.609924,-232.271393,-290.485535,-398.743073,-350.979431,-260.185516,-648.740295,-444.963135,-289.324158,-302.205933,-465.110016,-330.086853,-427.926666,-164.096573,-307.824005,-683.731323,-154.898010,-293.929535,-478.404755,-497.829132,,,,,,,,,,,,
13,0.108000,-274.110474,-628.943481,-302.182800,-307.846771,-355.729797,-232.037155,-273.336456,-739.294861,-236.886475,-290.550842,-398.229828,-352.516541,-261.066681,-649.456116,-447.125977,-289.257874,-302.804138,-467.863464,-329.918701,-424.817017,-165.899643,-307.254089,-692.296387,-157.597748,-294.585999,-479.041901,-500.164276,,,,,,,,,,,,
14,0.117000,-274.310791,-632.688843,-303.600433,-307.461029,-353.442932,-234.606705,-272.795929,-744.960999,-241.741608,-290.773560,-397.586456,-354.313843,-262.290314,-650.101440,-448.999390,-289.433380,-303.254578,-470.643890,-329.688324,-421.896240,-167.977524,-306.306183,-701.709290,-160.192657,-295.391785,-479.746765,-502.517395,,,,,,,,,,,,
15,0.125000,-274.511200,-636.385742,-304.795654,-307.218475,-350.927521,-237.368744,-272.114685,-750.837341,-247.084625,-290.811707,-396.966553,-356.635071,-263.736237,-650.492004,-450.576447,-289.516846,-303.673798,-473.611603,-329.165192,-419.197235,-170.496048,-304.961853,-711.877869,-163.082977,-296.572754,-480.038452,-504.570374,,,,,,,,,,,,
