Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0,-309.017578,-790.315125,-178.615891,-340.962341,-405.229279,-150.043121,-319.223663,-331.510773,-210.934265,-301.747803,-376.96167,-330.148682,-275.192169,-614.788086,-410.700836,-301.207245,-267.875031,-432.892273,-285.211548,-633.560486,-265.699585,-279.48645,-761.702637,-268.081818,-307.966095,-444.190735,-464.070831
1,0.008,-309.295593,-785.726624,-173.715942,-340.264343,-403.180237,-146.590332,-318.641479,-329.405487,-207.396469,-301.803375,-374.590973,-326.768799,-275.981995,-612.463806,-407.480469,-301.137939,-265.357208,-429.631348,-285.441162,-630.368713,-262.460358,-280.204681,-758.426086,-263.326721,-308.479401,-441.712524,-460.715454
2,0.017,-309.607422,-781.108948,-168.597031,-339.231537,-401.071075,-143.341873,-317.721954,-327.217438,-204.157578,-301.486877,-372.380219,-323.792114,-276.707062,-610.10199,-404.273529,-301.188538,-263.015137,-426.463287,-285.835083,-626.964478,-259.074615,-280.676331,-755.131958,-258.722778,-309.042175,-439.24823,-457.44693
3,0.025,-309.737091,-776.707581,-163.793869,-337.89917,-398.849609,-140.235611,-316.48465,-325.045441,-201.14003,-301.183838,-370.090393,-320.827118,-277.421478,-607.699829,-401.180115,-301.139191,-260.561371,-423.308258,-285.998383,-623.630493,-255.827011,-281.037415,-751.829163,-254.365417,-309.634857,-436.85321,-454.277618
4,0.033,-309.820312,-772.530945,-159.246429,-336.598114,-396.560577,-137.036407,-315.204559,-322.940674,-198.154144,-300.826385,-367.913513,-317.903717,-278.196716,-605.476257,-398.190979,-301.125488,-258.250153,-420.174438,-286.101044,-620.434998,-252.660187,-281.411804,-748.484436,-250.118317,-310.180145,-434.549469,-451.05545
5,0.042,-309.905273,-768.487915,-154.796494,-335.234314,-394.488312,-133.781113,-314.020996,-320.900726,-194.993042,-300.363037,-365.84964,-314.943878,-278.994415,-603.356567,-395.198242,-301.017731,-256.061829,-416.976227,-286.134186,-617.353455,-249.578125,-281.861572,-745.463928,-246.043121,-310.800903,-432.267639,-447.819489
6,0.05,-309.882141,-764.687134,-150.557602,-333.734741,-392.493622,-130.516006,-313.044891,-318.842438,-191.540619,-300.122864,-363.831512,-311.707489,-279.79303,-601.207764,-392.242432,-300.919342,-253.83049,-413.610535,-286.209625,-614.493408,-246.555176,-282.395966,-742.593384,-242.060104,-311.292938,-430.033569,-444.593201
7,0.058,-310.228851,-761.108643,-146.294449,-333.001404,-390.542389,-127.09758,-311.967651,-316.944824,-188.164383,-299.684021,-361.896484,-308.43045,-280.561096,-599.278625,-389.221069,-300.695068,-251.740997,-410.072113,-286.398804,-611.785217,-243.44754,-282.902405,-739.747742,-238.075256,-311.822052,-427.823578,-441.196655
8,0.067,-310.924377,-757.705566,-142.074783,-332.78717,-388.832458,-124.566422,-311.197266,-314.808533,-184.890305,-299.262909,-360.263367,-305.031067,-281.434235,-597.311462,-386.119476,-300.316956,-249.777924,-406.272186,-286.805145,-609.154846,-240.230179,-283.637512,-737.079895,-234.23851,-312.225464,-425.775055,-437.687073
9,0.075,-310.863281,-754.775635,-138.613419,-332.735596,-385.641571,-124.450066,-311.087799,-310.325745,-183.179031,-298.729065,-359.248657,-302.506012,-282.168579,-595.403625,-382.879791,-299.941772,-247.74144,-402.4198,-287.233612,-606.704102,-236.950256,-284.612,-734.658081,-230.467148,-312.547455,-423.5495,-434.124268
10,0.083,-311.394348,-753.04834,-136.60643,-332.884033,-382.055908,-124.849274,-311.410706,-305.48468,-181.934494,-299.244568,-357.96344,-299.314575,-282.943634,-593.413513,-379.576691,-299.719513,-245.612274,-398.472534,-287.654785,-604.42865,-233.627945,-285.654297,-732.453735,-228.391159,-312.824829,-421.429291,-430.426056
11,0.092,-312.405426,-751.343994,-136.492203,-332.995148,-379.457611,-124.239151,-311.416473,-302.000214,-180.171143,-299.472565,-356.804688,-296.483917,-283.467957,-591.379883,-376.486725,-299.604828,-243.36882,-394.545807,-287.851105,-602.124207,-230.525375,-285.900818,-730.463318,-228.462631,-313.090942,-419.167175,-426.887756
12,0.1,-312.419708,-749.44397,-136.65239,-332.835449,-377.182648,-123.694473,-311.305328,-298.709503,-178.181137,-299.491272,-355.235291,-293.385834,-283.926331,-589.072388,-373.595551,-299.629578,-241.122437,-390.815704,-287.822815,-600.028442,-227.646652,-285.791077,-728.281738,-228.577118,-313.528168,-416.816925,-423.473907
13,0.108,-311.61911,-747.659058,-136.195801,-332.696411,-374.259857,-123.599144,-311.042389,-294.709412,-176.498138,-299.608459,-353.652832,-290.495178,-284.117737,-586.846191,-370.85144,-299.855896,-238.750061,-387.120728,-287.444458,-598.223938,-225.078766,-285.541931,-726.199768,-227.669083,-313.89566,-414.352234,-420.196472
14,0.117,-312.085419,-746.086609,-134.863861,-332.726807,-371.409485,-123.285866,-311.142456,-290.763641,-174.397202,-299.776917,-351.768646,-287.360474,-284.294647,-584.53064,-368.221375,-300.076508,-236.463867,-383.520416,-287.144684,-596.447388,-222.397141,-285.473236,-724.339417,-226.649109,-314.192719,-411.937073,-417.041931
15,0.125,-311.591217,-744.312927,-134.864853,-332.727234,-368.585724,-123.116638,-311.555634,-286.53183,-171.893982,-300.163757,-349.450806,-283.946136,-284.432587,-582.178589,-365.654022,-300.438873,-234.104462,-380.030151,-287.158081,-594.487549,-219.945251,-285.661743,-722.362366,-226.156952,-314.561127,-409.5784,-413.891571
