Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-309.846924,-763.005676,-131.823730,-280.846313,-746.965637,-223.420975,-346.438721,-204.210663,-117.296799,-285.026611,-618.985229,-227.724869,-322.279846,-155.839844,-199.517578,-307.647278,-277.724182,-239.499161,-280.280273,-582.004456,-368.957886,-302.352692,-235.049942,-382.606628,-312.263031,-410.223633,-418.315338
1,0.008000,-309.754883,-761.764099,-131.827850,-280.959137,-746.539612,-223.288589,-346.821655,-202.554337,-117.367485,-285.188263,-618.708496,-227.975113,-322.407837,-155.358612,-200.322540,-307.833557,-277.359070,-239.646927,-280.412903,-582.380676,-369.374023,-302.361053,-234.889771,-382.864044,-312.408142,-410.564270,-418.790833
2,0.017000,-309.946747,-760.213440,-131.490067,-281.075897,-746.206665,-223.100983,-347.021759,-200.980515,-117.399094,-285.211182,-618.470581,-228.447754,-322.598175,-154.951157,-200.963058,-307.778381,-277.170532,-239.943771,-280.523224,-582.958984,-370.157532,-302.180664,-235.777451,-383.802002,-312.556335,-411.059967,-419.266541
3,0.025000,-310.015900,-758.732910,-131.196487,-281.108856,-745.938843,-222.953674,-347.008606,-199.517166,-117.440811,-285.249359,-618.252808,-229.262329,-322.552795,-154.635864,-201.786407,-307.829254,-277.027374,-240.228043,-280.517761,-583.545654,-371.089813,-302.358673,-236.593552,-384.396210,-312.616394,-411.634552,-420.013489
4,0.033000,-310.100220,-757.282715,-131.082794,-281.097504,-745.674194,-222.895538,-346.914520,-197.962341,-117.577995,-285.248016,-618.081238,-230.115509,-322.416138,-154.603165,-202.460938,-307.822845,-276.916412,-240.686340,-280.466583,-584.197754,-372.205994,-302.579590,-237.123276,-384.742706,-312.629303,-412.210388,-420.962097
5,0.042000,-310.162476,-755.591919,-130.851288,-281.074524,-745.466309,-222.874115,-347.132904,-196.585373,-117.587357,-285.199158,-617.921936,-231.222397,-322.410461,-154.660400,-203.297668,-307.882874,-276.824310,-241.204926,-280.530731,-584.935303,-373.500336,-302.338196,-238.004578,-385.798462,-312.704559,-412.858307,-421.987335
6,0.050000,-310.338318,-754.186584,-130.644577,-281.120331,-745.320618,-222.808044,-346.981781,-195.111145,-117.700981,-285.155334,-617.864441,-232.380905,-322.284729,-154.557480,-204.084457,-307.772400,-276.842743,-242.064163,-280.532227,-585.803040,-374.828735,-301.932312,-238.701950,-386.893250,-312.698181,-413.714874,-423.198578
7,0.058000,-310.392761,-752.636230,-130.481155,-281.259521,-745.176880,-222.738098,-347.212402,-193.812775,-117.684196,-285.118958,-617.772827,-233.626038,-322.287842,-154.828568,-204.744217,-308.225739,-276.563660,-242.721848,-280.524902,-586.668823,-376.276184,-302.250916,-239.905716,-387.915283,-312.600098,-414.521027,-424.547272
8,0.067000,-310.498688,-751.077148,-130.444748,-281.423767,-745.095581,-222.728363,-347.077209,-192.399063,-117.813034,-285.153809,-617.857727,-234.853699,-322.089294,-154.928085,-205.276840,-307.660095,-276.664978,-244.208435,-280.524658,-587.593628,-377.734406,-302.321136,-240.912079,-389.261383,-312.479309,-415.456818,-426.063721
9,0.075000,-310.653381,-749.544006,-130.311646,-281.628845,-744.971252,-222.667923,-347.215668,-191.105301,-117.881767,-285.139740,-617.902527,-236.141876,-322.181671,-155.001282,-206.054443,-307.458435,-276.522308,-245.679520,-280.481445,-588.535889,-379.203766,-301.485168,-241.565796,-391.410156,-312.377960,-416.524811,-427.610748
10,0.083000,-310.785706,-748.020752,-130.178040,-281.700256,-744.899902,-222.571167,-347.516937,-189.771332,-117.845787,-285.047028,-617.929565,-237.434860,-321.642303,-155.347122,-206.861755,-307.283325,-276.537079,-247.243378,-280.326294,-589.447815,-380.646393,-301.403290,-242.763855,-393.079010,-312.199860,-417.434235,-429.265503
11,0.092000,-310.804932,-746.518372,-130.001801,-281.648407,-744.864136,-222.437531,-346.705414,-189.086166,-118.136200,-284.850922,-618.077637,-238.677826,-321.361847,-155.803360,-207.617249,-307.107086,-276.614380,-248.899658,-280.118164,-590.407837,-382.139587,-301.019440,-243.267761,-395.080505,-312.045441,-418.441650,-430.890228
12,0.100000,-310.800110,-744.876404,-129.873077,-281.493195,-744.825256,-222.321793,-345.756348,-190.072311,-118.500275,-284.666748,-618.205933,-240.127319,-321.041138,-156.494186,-208.115433,-306.551544,-277.110107,-250.753403,-279.859131,-591.352478,-383.717041,-301.157440,-244.613174,-396.918823,-311.905090,-419.474304,-432.613220
13,0.108000,-310.802399,-743.480225,-129.702240,-281.366699,-744.855469,-222.182343,-344.446777,-192.019882,-118.819313,-284.403473,-618.455566,-241.682755,-319.542053,-158.236786,-208.446976,-305.781342,-278.165680,-252.721756,-279.602112,-592.275452,-385.319031,-300.834839,-245.470367,-399.066406,-311.661041,-420.419647,-434.397186
14,0.117000,-310.904816,-741.928650,-129.252090,-281.191956,-745.097107,-221.982407,-342.744049,-193.485519,-118.840645,-284.086853,-619.002502,-243.272095,-317.960419,-160.502930,-208.683914,-304.862732,-279.855652,-254.905609,-279.234497,-593.311279,-387.141296,-300.550323,-246.743225,-400.943573,-311.424683,-421.612244,-436.313202
15,0.125000,-310.762177,-740.545654,-129.354050,-280.968933,-745.604248,-221.872009,-341.253906,-195.304138,-118.736465,-283.674347,-619.772827,-245.273972,-316.780975,-163.376953,-208.771484,-304.028839,-281.969666,-256.937683,-279.015778,-594.818970,-389.196350,-299.906036,-248.128250,-402.926239,-311.004944,-422.874329,-438.300232
16,0.133000,-310.769440,-739.219116,-129.305679,-281.045044,-746.347900,-221.796585,-340.224854,-196.587723,-118.576683,-283.328827,-620.881653,-247.391266,-315.684235,-166.294754,-209.034439,-303.070160,-284.117767,-259.115173,-278.791656,-596.246155,-391.471039,-299.291107,-249.746887,-404.723328,-310.631104,-424.220276,-440.319519
