Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-306.036133,-854.778870,-224.331924,-279.368805,-800.609558,-301.983521,-340.532837,-366.773987,-136.533493,-284.275299,-673.707275,-281.216797,-316.558533,-310.159088,-213.359940,-300.963593,-375.399933,-322.565308,-277.852936,-628.111816,-420.564423,-299.799805,-280.586060,-439.084564,-309.113556,-456.654144,-472.113312
1,0.008000,-306.014008,-856.504639,-225.083206,-279.664886,-801.257141,-301.790527,-340.997681,-364.564362,-134.236710,-284.365143,-674.579041,-280.332336,-316.807312,-308.646576,-211.368896,-301.200653,-374.194458,-320.411591,-278.018250,-627.507812,-419.134155,-299.602448,-280.151672,-437.503357,-309.308411,-455.860840,-470.476349
2,0.017000,-306.099701,-857.827515,-225.436020,-279.826416,-801.708679,-301.515656,-340.915924,-362.382111,-131.844009,-284.459259,-675.099976,-279.484833,-316.891266,-307.078033,-209.384216,-301.352112,-373.101837,-318.064728,-278.256073,-627.000183,-417.827240,-299.774658,-279.590302,-435.615875,-309.490295,-455.254303,-468.859222
3,0.025000,-306.369232,-858.792480,-225.141678,-280.197021,-802.014404,-300.748932,-340.861633,-359.734741,-129.066879,-284.532440,-675.467041,-278.425690,-316.639038,-305.364624,-207.380341,-301.322937,-371.898407,-315.741669,-278.543701,-626.337219,-416.462585,-299.839539,-278.860779,-433.637512,-309.698883,-454.538788,-467.175446
4,0.033000,-306.578827,-859.411987,-224.217453,-280.365906,-802.339783,-299.621460,-340.482208,-357.089111,-126.393021,-284.653351,-675.740845,-277.474915,-316.322021,-303.528046,-205.244827,-301.222412,-370.719879,-313.366547,-278.824097,-625.692017,-415.171509,-300.123810,-278.529663,-431.764191,-309.963287,-453.767059,-465.505035
5,0.042000,-306.777374,-859.606873,-222.704590,-280.649170,-802.374756,-298.167145,-340.246796,-354.794128,-124.272552,-284.791351,-675.777344,-276.392456,-315.859711,-301.638031,-203.168182,-301.157715,-369.402954,-311.083649,-279.153290,-625.058899,-413.821014,-299.804443,-277.343872,-429.793884,-310.177429,-452.977234,-463.920502
6,0.050000,-307.048553,-859.378845,-220.643143,-281.029053,-802.345520,-296.307159,-340.023651,-352.389801,-123.664330,-284.913269,-675.566162,-275.195312,-315.661194,-298.770905,-202.260025,-301.079895,-368.348297,-308.991211,-279.554138,-624.351318,-412.457306,-299.747833,-276.773193,-428.100616,-310.383362,-452.211792,-462.309631
7,0.058000,-307.240356,-858.449158,-218.521561,-281.419830,-802.032349,-294.285492,-339.924194,-349.333313,-124.123016,-285.043640,-675.156860,-273.889404,-315.954559,-295.158325,-202.105148,-301.142975,-367.353180,-307.157532,-279.930756,-623.564148,-411.072662,-299.649628,-276.016998,-426.545654,-310.624847,-451.328796,-460.714691
8,0.067000,-307.728760,-857.211182,-215.876511,-282.030823,-801.191345,-292.069641,-340.118134,-346.734802,-123.845802,-285.182007,-674.284424,-272.394958,-315.999695,-292.258392,-201.863480,-301.347717,-366.246490,-305.629425,-280.311737,-622.698059,-409.611938,-299.553833,-275.098419,-425.037384,-310.830719,-450.390594,-459.254974
9,0.075000,-308.184753,-855.404968,-213.044510,-282.377716,-800.114807,-289.719757,-340.173126,-344.496613,-123.356422,-285.410553,-672.972534,-270.718445,-315.921112,-289.937042,-201.362457,-301.377258,-365.226410,-304.172607,-280.667694,-621.656616,-407.992798,-299.527557,-274.048248,-423.589355,-311.087433,-449.431763,-457.754669
