Format Version,1.23,Take Name,Take 2024-07-22 05.22.36 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-07-22 05.22.37.113 PM,Capture Start Frame,49739636,Total Frames in Take,1352,Total Exported Frames,1352,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 4301,Unlabeled 4301,Unlabeled 4301,Unlabeled 4302,Unlabeled 4302,Unlabeled 4302,Unlabeled 4303,Unlabeled 4303,Unlabeled 4303,Unlabeled 4304,Unlabeled 4304,Unlabeled 4304,Unlabeled 4305,Unlabeled 4305,Unlabeled 4305,Unlabeled 4306,Unlabeled 4306,Unlabeled 4306,Unlabeled 4307,Unlabeled 4307,Unlabeled 4307,Unlabeled 4308,Unlabeled 4308,Unlabeled 4308,Unlabeled 4309,Unlabeled 4309,Unlabeled 4309
,ID,"656D11BA8CFC447911EF","656D11BA8CFC447911EF","656D11BA8CFC447911EF","656E11BA8CFC447911EF","656E11BA8CFC447911EF","656E11BA8CFC447911EF","656F11BA8CFC447911EF","656F11BA8CFC447911EF","656F11BA8CFC447911EF","657011BA8CFC447911EF","657011BA8CFC447911EF","657011BA8CFC447911EF","657111BA8CFC447911EF","657111BA8CFC447911EF","657111BA8CFC447911EF","657211BA8CFC447911EF","657211BA8CFC447911EF","657211BA8CFC447911EF","657311BA8CFC447911EF","657311BA8CFC447911EF","657311BA8CFC447911EF","657411BA8CFC447911EF","657411BA8CFC447911EF","657411BA8CFC447911EF","657511BA8CFC447911EF","657511BA8CFC447911EF","657511BA8CFC447911EF"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-314.983185,-892.954102,-340.107391,-285.441925,-880.974243,-433.085663,-333.218323,-255.485535,-402.192108,-281.709991,-789.166382,-523.794556,-304.832214,-305.680145,-481.781952,-294.599487,-422.523926,-535.057312,-274.358917,-749.179810,-665.850098,-287.034332,-402.439911,-683.598877,-301.433136,-577.007324,-717.516663
1,0.008000,-315.060944,-893.134888,-340.468384,-285.534576,-881.222595,-433.404236,-333.326447,-257.026886,-401.222382,-281.759094,-788.997681,-523.777283,-304.947906,-306.489746,-481.050690,-294.657318,-422.972504,-535.124084,-274.338806,-749.169861,-665.858215,-286.968170,-402.344177,-683.641113,-301.431427,-576.997681,-717.526672
2,0.017000,-315.056091,-893.396301,-340.802399,-285.512390,-881.463623,-433.702240,-333.415100,-258.440552,-400.235321,-281.788086,-788.911926,-523.763184,-304.958984,-307.358917,-480.396118,-294.623230,-423.443451,-535.216003,-274.335999,-749.157471,-665.850098,-286.991089,-402.324097,-683.663391,-301.427399,-576.996582,-717.537964
3,0.025000,-315.013733,-893.608215,-341.058685,-285.485413,-881.774048,-433.972931,-333.364197,-259.903320,-399.244171,-281.771362,-788.949341,-523.755493,-305.025269,-308.202484,-479.695038,-294.543335,-423.985046,-535.277588,-274.340942,-749.175171,-665.843018,-286.973846,-402.334015,-683.635254,-301.431030,-577.001770,-717.515259
4,0.033000,-314.992004,-893.726440,-341.439728,-285.482605,-882.106201,-434.390320,-333.493744,-261.390839,-398.043274,-281.767914,-788.903564,-523.749756,-305.034332,-308.999664,-479.071198,-294.259308,-424.644379,-535.486816,-274.350983,-749.179565,-665.834656,-287.142761,-402.307404,-683.616943,-301.430115,-576.996521,-717.494629
5,0.042000,-315.086975,-893.985046,-341.841827,-285.505554,-882.308777,-434.775726,-333.498993,-263.137543,-396.905212,-281.816528,-788.752869,-523.724487,-305.119690,-309.934631,-478.308472,-294.612823,-424.915314,-535.365295,-274.350494,-749.146667,-665.833313,-287.203064,-402.296143,-683.629944,-301.431152,-576.977722,-717.500977
